1 1:283.7883 2:-5.4683585 3:2.1117268 4:-1.8665639 5:4.180928 6:0.5770373 7:-0.060469978 8:-0.6641142 9:5.287266 10:-1.0471954 11:0.852578 12:-1.4940042 13:4.210193 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:305.27234 2:7.3877378 3:8.25999 4:-3.822852 5:7.311035 6:3.5563893 7:4.5546017 8:-2.492529 9:5.916368 10:0.73078024 11:4.7702284 12:-2.182501 13:4.90564 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:323.04013 2:15.104327 3:8.13085 4:-8.372651 5:5.196168 6:3.8094194 7:3.1157768 8:-5.094763 9:6.966823 10:-0.659705 11:5.865031 12:-2.808156 13:5.80556 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:332.35495 2:19.295511 3:11.766082 4:-7.155713 5:3.4808753 6:3.9439538 7:3.963938 8:-6.0724196 9:6.469812 10:-4.0022545 11:4.913097 12:-3.8887131 13:4.644117 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:346.03546 2:23.355196 3:11.718777 4:-8.68528 5:0.41188294 6:4.117524 7:3.7178075 8:-9.733602 9:7.586707 10:-5.3669233 11:3.187106 12:-4.823913 13:3.4220738 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:355.76346 2:22.755623 3:8.672044 4:-9.818794 5:-1.7444985 6:4.24279 7:5.4136443 8:-9.14372 9:8.911114 10:-5.855931 11:2.1387353 12:-6.2347364 13:2.991358 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:359.8997 2:21.254654 3:6.046178 4:-9.314611 5:-1.477145 6:6.5821543 7:6.273276 8:-8.545623 9:8.630521 10:-9.134618 11:2.3490403 12:-7.6119657 13:1.9496934 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:361.7618 2:21.5896 3:5.293212 4:-10.987257 5:0.7418893 6:10.912629 7:7.1019645 8:-9.188045 9:9.564373 10:-10.171926 11:1.1468428 12:-7.801729 13:2.4280827 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:356.93015 2:20.975595 3:6.6673923 4:-10.891844 5:1.1275141 6:12.603894 7:8.612416 8:-8.093998 9:10.408244 10:-9.043637 11:0.6606213 12:-7.8821883 13:1.5689381 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:340.99234 2:17.812477 3:9.599389 4:-6.78182 5:0.7990838 6:4.944847 7:10.600643 8:-3.2501037 9:7.63229 10:-4.967406 11:3.9563212 12:-7.323734 13:0.66568017 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
