1 1:329.18796 2:20.605053 3:14.871048 4:-5.9386506 5:1.9254324 6:0.3340369 7:2.2678287 8:-6.267534 9:4.8761263 10:-4.947289 11:5.004983 12:-4.1178737 13:4.26432 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:339.2623 2:22.174953 3:11.899083 4:-10.389585 5:0.42903835 6:3.5090313 7:4.180486 8:-7.5057015 9:6.0127597 10:-5.068 11:4.319817 12:-6.467572 13:2.2962 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:339.5919 2:20.608284 3:9.85091 4:-10.610947 5:1.9680902 6:5.70879 7:6.515887 8:-5.9892364 9:5.717808 10:-6.14719 11:2.3664482 12:-6.914893 13:3.0621858 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:340.8804 2:19.534592 3:9.669395 4:-9.30884 5:2.348571 6:7.728866 7:6.6092396 8:-5.438167 9:6.0421877 10:-7.9519844 11:0.829095 12:-7.960173 13:4.7298894 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:336.8224 2:21.621933 3:10.927997 4:-10.983782 5:3.8211918 6:6.699959 7:9.169127 8:-4.094357 9:5.9004555 10:-6.1747875 11:0.448494 12:-7.5883265 13:4.063919 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:321.32666 2:16.999353 3:15.937129 4:-6.6354995 5:1.5608801 6:3.4690871 7:8.831415 8:-1.1837015 9:6.284922 10:-4.401369 11:2.340556 12:-5.9827085 13:3.3646607 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:313.39465 2:13.274512 3:16.89873 4:-2.0687544 5:2.003195 6:0.59459424 7:5.6751714 8:-2.1622717 9:5.1879883 10:-2.941589 11:2.699709 12:-4.876625 13:3.8569367 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:325.34042 2:19.955914 3:17.799067 4:-4.204023 5:3.0133934 6:0.06544291 7:5.698669 8:-4.255044 9:2.5446754 10:-6.2702146 11:3.3959477 12:-3.996989 13:5.423366 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:342.04282 2:24.50567 3:16.596495 4:-5.941563 5:0.8719196 6:1.6900012 7:6.5370965 8:-7.435163 9:2.2043033 10:-9.273755 11:4.5623403 12:-5.2599373 13:4.315377 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:351.7864 2:24.794521 3:16.020224 4:-7.841899 5:0.20583689 6:2.221603 7:4.249304 8:-7.351842 9:3.7824244 10:-11.866444 11:5.2620196 12:-5.2144737 13:3.3644311 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:354.86697 2:26.233185 3:15.007214 4:-9.419975 5:0.2562924 6:2.0124767 7:3.9325962 8:-8.23495 9:4.873564 10:-10.905115 11:5.085943 12:-5.8568454 13:3.6739833 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:359.05783 2:26.212137 3:11.176641 4:-10.062066 5:0.5153488 6:2.2077289 7:2.9915466 8:-8.107767 9:6.048897 10:-8.637156 11:3.9217305 12:-7.866921 13:3.769254 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:368.81992 2:20.716244 3:7.4705014 4:-6.4856167 5:-2.7709467 6:4.320529 7:5.6000705 8:-8.776433 9:9.366981 10:-6.962872 11:1.6180145 12:-7.924091 13:2.9259224 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:370.02875 2:17.621878 3:2.2210922 4:-3.7293968 5:-1.0273434 6:7.2895107 7:9.844961 8:-7.897731 9:11.16184 10:-7.3973284 11:-0.17632751 12:-8.653662 13:4.302766 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:358.20956 2:12.361753 3:-1.5017761 4:0.18154423 5:3.0192497 6:4.082747 7:10.88382 8:-4.8181167 9:9.121852 10:-4.8822064 11:0.7136405 12:-6.4245124 13:6.231789 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:358.55652 2:-6.6490235 3:-5.1636086 4:9.414835 5:1.2773411 6:-0.9861928 7:6.8844976 8:-0.6080103 9:6.595646 10:-4.018864 11:2.749888 12:-5.722274 13:6.549978 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:360.41974 2:-10.570334 3:-8.547398 4:9.145512 5:-0.266076 6:-2.7646937 7:4.944055 8:-0.876654 9:5.9977736 10:-4.755322 11:3.3654075 12:-4.4250565 13:6.8716116 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:357.7011 2:-10.254405 3:-11.141765 4:7.191482 5:0.75273865 6:-2.6242616 7:5.0741615 8:-1.4126055 9:6.0367465 10:-5.599268 11:2.4285653 12:-5.6772933 13:5.869391 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
