1 1:313.49414 2:10.487482 3:13.071623 4:-3.2533727 5:-0.14424637 6:1.202061 7:7.642186 8:-1.0718638 9:5.5220037 10:-3.4755 11:2.8380263 12:-3.2317486 13:3.849416 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:320.12634 2:10.418945 3:12.678904 4:0.8259319 5:1.0716501 6:-0.81066734 7:5.858151 8:-1.9909528 9:4.75528 10:-5.3645234 11:2.214926 12:-3.456725 13:4.0129333 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:342.8362 2:20.087482 3:14.68423 4:-3.723375 5:0.92146415 6:2.6515756 7:6.361303 8:-5.9939184 9:4.714566 10:-9.392704 11:2.4651008 12:-3.1489487 13:5.154306 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:358.21817 2:21.965553 3:13.843287 4:-4.2808967 5:-1.7534093 6:4.706602 7:4.5146565 8:-7.99426 9:6.2121735 10:-13.020082 11:3.4965358 12:-4.4217105 13:3.694349 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:357.73636 2:22.844774 3:15.017963 4:-6.00395 5:-2.1640952 6:3.9077764 7:4.41921 8:-8.685318 9:6.999889 10:-12.622469 11:4.060303 12:-4.519973 13:2.2906036 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:359.5824 2:26.13791 3:15.635462 4:-9.917689 5:-2.9207776 6:4.2368765 7:4.3826275 8:-9.367799 9:7.3767905 10:-11.495885 11:4.8847885 12:-5.362348 13:2.5323431 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:367.80896 2:23.701899 3:10.328157 4:-7.9945903 5:-2.1116233 6:3.6962812 7:5.631216 8:-8.036573 9:6.7117157 10:-8.453822 11:3.7950141 12:-7.9692874 13:3.1224778 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:377.89142 2:20.26497 3:3.1093295 4:-5.1329713 5:-2.817371 6:5.991826 7:8.980166 8:-8.321201 9:10.680876 10:-8.502295 11:1.9567736 12:-8.408672 13:2.5200734 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:372.8139 2:15.679653 3:-0.49352852 4:-4.559479 5:1.7438967 6:6.3259826 7:11.936922 8:-5.2996306 9:10.693099 10:-6.4949083 11:1.4705248 12:-7.877874 13:3.4869056 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:365.08902 2:-0.5375026 3:-1.820222 4:7.298096 5:1.9295673 6:0.74329025 7:8.738969 8:0.4280638 9:6.9146376 10:-4.9251137 11:2.2736015 12:-5.5607147 13:4.4546537 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:366.12726 2:-14.713259 3:-3.9273386 4:10.459673 5:1.345214 6:-3.7557356 7:5.2818184 8:0.8682564 9:6.7136645 10:-4.1721673 11:1.2676371 12:-3.0470479 13:5.514766 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:365.3115 2:-15.549429 3:-6.377261 4:9.895123 5:0.29353175 6:-4.9825883 7:7.4206758 8:0.40086666 9:6.328284 10:-4.2529006 11:2.293848 12:-2.996149 13:5.2736955 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:364.5592 2:-7.780507 3:-5.296639 4:10.205553 5:2.6019828 6:-0.77247065 7:8.950477 8:0.55851287 9:7.156771 10:-4.938091 11:2.0693395 12:-5.8154826 13:4.3384337 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
