1 1:219.58151 2:2.1992433 3:7.5305057 4:1.6644638 5:2.2305403 6:-0.89065146 7:2.4841971 8:-2.1711588 9:1.972715 10:-2.0902777 11:2.4127576 12:-3.832478 13:4.4667063 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:215.40096 2:0.44737586 3:7.5752816 4:3.1741705 5:3.6605823 6:-0.4037028 7:3.5411434 8:-1.0546951 9:3.1469676 10:-1.6309111 11:1.3780973 12:-3.7692943 13:4.027506 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.29123 2:1.397881 3:8.312465 4:1.2838444 5:2.697874 6:-0.29051766 7:4.2640443 8:-0.38000396 9:3.2603986 10:-2.0598626 11:2.575156 12:-1.4545355 13:3.8061397 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.92732 2:0.038359452 3:7.034184 4:0.96935654 5:0.35988265 6:-1.3950669 7:1.1590339 8:-3.1535933 9:1.940918 10:-1.4246826 11:1.4350563 12:-3.1721575 13:3.9030616 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.26897 2:1.1873235 3:8.348802 4:2.4783762 5:1.3988469 6:-1.4114527 7:1.6165463 8:-0.31940803 9:4.375053 10:0.16766606 11:4.2673707 12:-1.8709592 13:3.1221907 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:215.44904 2:0.17038773 3:6.467307 4:0.94892585 5:1.502157 6:-2.4274073 7:2.7445717 8:-1.4051759 9:3.1174915 10:-1.5011804 11:2.9330091 12:-1.3353378 13:4.4818716 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:215.87685 2:0.5360924 3:6.746808 4:1.6834136 5:1.3031777 6:-1.108191 7:2.697626 8:-1.5561113 9:2.5509367 10:-1.4752456 11:3.338892 12:-2.3005803 13:3.358424 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.02309 2:0.7645323 3:8.378448 4:1.7111071 5:0.412583 6:-1.9817648 7:1.7368665 8:-1.4999746 9:3.002037 10:-0.9355966 11:1.6985937 12:-2.5029821 13:2.6983433 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.22908 2:3.196788 3:10.154755 4:2.3693664 5:2.6889074 6:-1.1227311 7:2.5165114 8:-2.5796766 9:1.0228009 10:-4.4116607 11:1.4361304 12:-2.4335659 13:2.6892433 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.11243 2:0.08899529 3:6.4208646 4:1.2606045 5:1.6788182 6:-2.7506213 7:2.179624 8:-0.50754213 9:3.3902686 10:-0.86392933 11:3.052841 12:-3.2107494 13:3.1877148 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
