1 1:242.26785 2:-10.4246855 3:5.8348136 4:-0.81681645 5:0.33681986 6:0.5791322 7:1.2805636 8:-0.76111704 9:2.4797149 10:-0.7539353 11:1.8015411 12:-1.5078485 13:2.956995 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.29112 2:-8.522573 3:7.8673224 4:1.7153525 5:2.0578144 6:0.55490375 7:0.7162134 8:-0.86794055 9:1.8925728 10:-2.1206129 11:2.5349424 12:-1.1926659 13:3.6371768 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:258.13242 2:-2.1212316 3:4.9441395 4:-2.0858588 5:4.289895 6:-0.014539422 7:-3.18895 8:-3.963494 9:3.5421102 10:-1.381611 11:3.196116 12:-1.1071807 13:3.5362976 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:254.86401 2:-4.863149 3:3.8800583 4:-2.2924073 5:3.2459798 6:-0.6390782 7:-2.0583699 8:-2.189959 9:3.7899086 10:-0.08924443 11:2.525338 12:-1.9962912 13:3.9366293 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:247.51076 2:-7.0830364 3:8.023527 4:1.265232 5:3.1149366 6:-0.20724918 7:0.6912636 8:-0.83431476 9:3.4190075 10:0.6915596 11:4.225985 12:-0.38113675 13:2.6207461 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:249.85545 2:-6.4027004 3:5.414081 4:-1.0676059 5:3.565308 6:-0.05922508 7:0.41569856 8:-1.4871905 9:2.2552502 10:-1.7590225 11:0.8132747 12:-1.4453467 13:2.5410533 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:251.59502 2:-7.78285 3:3.449506 4:0.21861498 5:3.5470288 6:0.2121194 7:-0.24993174 8:-1.935555 9:3.4281888 10:-2.0265086 11:0.43149993 12:-1.000825 13:5.23341 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:250.2274 2:-6.522739 3:3.9079583 4:-1.1934124 5:3.5770278 6:-0.20677885 7:-0.68895537 8:-0.81838626 9:3.7016878 10:-1.3221841 11:1.3199408 12:-1.5958344 13:3.114984 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:254.55127 2:-4.873347 3:3.3888 4:-3.2666032 5:3.6376173 6:1.4491917 7:0.3412199 8:-2.074555 9:4.212558 10:-0.17282644 11:2.250363 12:-0.7970359 13:4.8626666 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:254.62962 2:-4.2644215 3:3.917285 4:-0.65920645 5:5.062753 6:0.28373942 7:-1.1894702 8:-1.3466393 9:4.24459 10:-1.7648215 11:1.5191776 12:-0.8222759 13:5.305656 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
