1 1:245.93192 2:-8.535998 3:6.6594934 4:0.78197247 5:3.0313616 6:1.7196046 7:1.8362858 8:-0.586477 9:2.4939668 10:-1.4365987 11:1.5224447 12:-1.5933257 13:4.1886926 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:247.08887 2:-7.6861796 3:5.264283 4:-0.6846094 5:1.5630802 6:-1.0703408 7:-0.39017135 8:-2.3843482 9:1.1189973 10:-1.9807091 11:1.6828367 12:-0.39033803 13:3.4623215 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:251.26149 2:-6.3465376 3:4.8533716 4:-1.6590469 5:0.3607847 6:-2.2026145 7:-1.3945655 8:-2.8993928 9:1.1357044 10:-2.9131534 11:1.8291943 12:-0.1460038 13:3.8263345 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:250.4348 2:-7.273412 3:5.0478764 4:-0.5228606 5:0.5293764 6:-0.59207046 7:0.48000926 8:-0.7809052 9:1.3895459 10:-2.7410996 11:-0.32274854 12:-2.1544957 13:3.1961486 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:248.70961 2:-7.44917 3:5.2902064 4:-1.5495133 5:1.3930161 6:0.69149 7:1.0024843 8:-0.43119565 9:2.0594776 10:-1.7548318 11:-0.27901167 12:-2.8228931 13:3.7683735 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:249.692 2:-6.0291266 3:4.853755 4:-2.4680305 5:2.2739623 6:0.8515905 7:0.28466666 8:-1.9158696 9:0.8306093 10:-4.270846 11:0.4425193 12:-2.9410431 13:3.1420047 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:283.9746 2:10.285862 3:5.1062574 4:-4.835165 5:6.972419 6:3.6246572 7:2.1417198 8:-6.3816876 9:-0.024714204 10:-6.839112 11:3.2321155 12:-2.3092809 13:3.9348917 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:266.71112 2:4.0976305 3:8.762128 4:-1.6999542 5:5.78241 6:5.3410044 7:3.0137262 8:-5.2005672 9:0.2949717 10:-3.8742626 11:1.6947079 12:-2.409604 13:3.4957583 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:256.09756 2:-2.3321114 3:4.7596693 4:-1.6474736 5:1.8855681 6:1.0340154 7:0.8185393 8:-2.5771916 9:2.6612482 10:-3.7789824 11:-0.7303657 12:-3.677232 13:3.985783 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:257.4104 2:-2.2862117 3:5.5627894 4:-1.8690478 5:3.4557664 6:0.5247429 7:1.7489228 8:-1.2951863 9:3.4244626 10:-2.074832 11:1.1757802 12:-0.19776462 13:4.5576844 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:258.20776 2:-3.3975315 3:5.209771 4:-1.3796923 5:2.194615 6:0.16512476 7:0.4772784 8:-2.100598 9:3.5062938 10:-1.9919041 11:0.84270936 12:-1.6977596 13:4.810577 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:260.59073 2:-3.4332395 3:3.2200058 4:-2.6395638 5:3.7083158 6:1.4373175 7:0.79344696 8:-2.9625754 9:2.3940854 10:-1.3210896 11:3.835284 12:0.41982618 13:5.7597594 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:280.44766 2:9.138105 3:12.310834 4:-0.84452355 5:3.629365 6:-0.08696272 7:3.5179384 8:-1.9312425 9:6.013484 10:-1.7104897 11:2.947519 12:-1.2292571 13:6.761674 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:291.6163 2:15.70341 3:13.078343 4:-4.095512 5:4.8230777 6:0.7726534 7:4.1978016 8:-1.6968825 9:6.5734563 10:-3.6881797 11:5.3991094 12:-0.8417898 13:7.4037457 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:295.335 2:17.751091 3:13.016386 4:-6.470715 5:3.4752154 6:2.0169113 7:4.4610434 8:-3.531055 9:4.890702 10:-2.7014325 11:5.747172 12:-1.7974734 13:7.70725 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:302.3099 2:20.420906 3:10.60912 4:-9.270098 5:4.044295 6:3.3838053 7:4.4382677 8:-4.80377 9:5.0860887 10:-4.122674 11:6.8126354 12:-0.9457308 13:8.140156 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:305.4222 2:21.21745 3:10.743785 4:-10.759369 5:3.9712186 6:3.5378056 7:4.41575 8:-5.2209077 9:4.7568803 10:-4.6939883 11:7.2079897 12:-1.1123121 13:8.095381 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:313.61954 2:23.823376 3:12.59748 4:-10.350474 5:3.902077 6:4.0366373 7:4.9344397 8:-6.65234 9:2.4348066 10:-5.273263 11:6.2812376 12:-3.4879642 13:7.2783594 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:319.05823 2:27.77208 3:16.275621 4:-10.302292 5:2.8779716 6:4.253978 7:4.303393 8:-8.439081 9:3.628028 10:-7.536992 11:4.997307 12:-3.7401495 13:6.3338947 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:329.59012 2:27.85305 3:12.161322 4:-10.273957 5:1.6198511 6:1.6284481 7:2.223914 8:-9.548572 9:6.365991 10:-6.796186 11:3.8425863 12:-4.0393157 13:6.037112 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:332.32892 2:28.077158 3:11.929874 4:-11.747647 5:0.07742669 6:1.716613 7:3.865802 8:-8.240041 9:5.3558025 10:-6.590521 11:4.997743 12:-6.26897 13:4.8965693 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:333.59238 2:27.410769 3:11.734235 4:-12.21619 5:-1.5848347 6:3.9599266 7:4.6014004 8:-7.416354 9:6.448727 10:-7.028332 11:3.8955758 12:-6.987298 13:4.335101 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:332.7407 2:27.413198 3:10.903585 4:-13.665055 5:0.35577717 6:4.8749213 7:3.770476 8:-6.1963325 9:7.3806534 10:-7.388382 11:2.3632271 12:-7.120747 13:4.4983974 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:337.5527 2:24.40047 3:9.763173 4:-12.067508 5:0.8519498 6:3.8406134 7:6.2482414 8:-4.9826903 9:6.9198833 10:-8.750703 11:2.3622513 12:-7.694173 13:4.0149164 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:332.17746 2:26.299507 3:9.087516 4:-12.280092 5:0.11243465 6:7.6817265 7:7.453679 8:-5.2020054 9:7.114067 10:-10.09426 11:2.899898 12:-8.896264 13:4.3173857 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:332.63977 2:24.267464 3:9.318477 4:-11.032309 5:0.3356145 6:10.452945 7:9.900791 8:-5.2699423 9:5.86426 10:-9.540659 11:3.8492324 12:-9.373573 13:3.5309088 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:332.71246 2:21.981642 3:9.600715 4:-11.099618 5:1.3754662 6:12.57666 7:9.793849 8:-4.071047 9:4.521309 10:-9.351208 11:3.7463589 12:-8.970408 13:5.067484 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:332.48795 2:22.448963 3:8.681193 4:-12.39697 5:3.5651028 6:14.436524 7:9.2969 8:-4.8728514 9:5.3043118 10:-10.832505 11:5.3626647 12:-8.419463 13:5.83225 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:330.1048 2:23.232817 3:8.214374 4:-12.165925 5:4.7620664 6:13.954486 7:8.891105 8:-4.1752596 9:5.2178965 10:-9.594381 11:4.3211985 12:-8.312831 13:7.61218 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:322.90915 2:23.246635 3:11.119402 4:-12.992124 5:3.517749 6:11.373229 7:11.204688 8:-2.2097666 9:4.816285 10:-8.742012 11:4.8879714 12:-7.7667327 13:6.580261 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:316.37997 2:22.011898 3:10.879165 4:-10.177799 5:3.9730203 6:8.644278 7:10.24542 8:-1.4612182 9:8.100169 10:-6.6512074 11:3.3858085 12:-7.3410625 13:6.0490165 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:307.66824 2:18.985367 3:14.365517 4:-7.7178507 5:2.011623 6:7.024576 7:10.766179 8:-0.21422741 9:5.7227607 10:-5.6623383 11:5.223963 12:-6.8311095 13:4.5583596 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:305.66992 2:16.586903 3:15.015364 4:-4.2239456 5:1.7175134 6:2.7847207 7:9.466063 8:0.29379693 9:5.269711 10:-4.5033484 11:4.8244615 12:-6.061616 13:4.514294 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:302.99814 2:16.18842 3:13.087871 4:-2.9744792 5:3.6703992 6:2.825645 7:6.121028 8:-2.738504 9:5.500633 10:-4.2796793 11:4.4155526 12:-5.274851 13:4.0928183 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:303.7472 2:16.022541 3:14.208875 4:-1.4551191 5:1.4937148 6:1.4774139 7:6.964492 8:-4.0270944 9:5.44296 10:-4.242423 11:3.6677632 12:-4.860394 13:4.78352 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:309.88898 2:17.031475 3:13.4320345 4:0.050201986 5:1.3922566 6:1.9206059 7:5.8401513 8:-4.896804 9:5.5942845 10:-7.279864 11:3.1999948 12:-3.180912 13:6.760654 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:311.08316 2:20.169413 3:16.334726 4:-2.8323743 5:1.1122978 6:2.8960855 7:4.2692766 8:-5.1379423 9:5.6542463 10:-6.99519 11:3.7094405 12:-3.5832665 13:6.9803605 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:316.70734 2:21.15342 3:18.504927 4:-2.3990583 5:0.018745758 6:2.7901216 7:5.115414 8:-5.7548704 9:5.2074027 10:-9.293354 11:3.5704403 12:-3.488315 13:7.2029347 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:314.93167 2:23.053398 3:20.24469 4:-2.4056993 5:-0.90650666 6:3.8588676 7:5.786985 8:-6.1374397 9:4.763689 10:-11.538838 11:4.424596 12:-2.8984227 13:6.5771756 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:329.5728 2:20.494373 3:18.715494 4:-0.82962215 5:0.634329 6:3.4492383 7:7.313291 8:-7.22022 9:3.4308448 10:-13.953781 11:4.0536094 12:-3.7005448 13:5.869161 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
