1 1:243.54225 2:-9.872912 3:5.6386776 4:0.101575375 5:-0.05918306 6:-2.5334556 7:-0.5471406 8:-2.139458 9:2.3298445 10:-0.92291033 11:1.2366544 12:-2.9778488 13:1.5920589 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:241.56749 2:-9.427082 3:6.438174 4:0.7152508 5:-0.22765382 6:-1.3228948 7:1.1951326 8:-1.1551385 9:1.182023 10:-1.6409751 11:0.671683 12:-2.9405782 13:1.8515096 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.30466 2:-8.427652 3:7.9459915 4:1.2577683 5:2.426468 6:-0.6334203 7:0.01329372 8:-2.985047 9:0.23759715 10:-1.0998209 11:1.6458677 12:-2.1665263 13:2.4143581 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.80975 2:-7.859674 3:8.174043 4:0.9117998 5:1.1154287 6:-0.27123126 7:1.9879757 8:-1.0619068 9:2.2474666 10:-1.8573401 11:0.41024825 12:-2.236437 13:2.1284134 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.78177 2:-7.666775 3:8.292592 4:2.3653736 5:3.13234 6:1.1290861 7:3.6709669 8:-1.5141393 9:0.9835134 10:-1.4727339 11:1.7557837 12:-2.4108992 13:1.7112082 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.48055 2:-8.868579 3:7.701521 4:0.8069638 5:0.34422803 6:-0.7729916 7:0.8722586 8:-0.3671842 9:2.3518884 10:-1.3729832 11:1.9611816 12:-1.4664903 13:1.0670198 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.29033 2:-9.483656 3:7.292353 4:1.0735528 5:-0.4200309 6:-1.0980448 7:0.871933 8:-1.0413163 9:2.0969696 10:-0.44502613 11:2.9716566 12:-1.7513694 13:1.7520963 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:241.41748 2:-10.632289 3:5.497971 4:-2.6692462 5:-0.22353695 6:-0.60585403 7:0.489025 8:-1.9098969 9:0.664576 10:-1.4574981 11:1.2830443 12:-1.7117647 13:1.7830949 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.88916 2:-8.246716 3:7.8665767 4:1.5997066 5:1.7708528 6:-0.07524762 7:0.5362834 8:-1.1898196 9:0.7182384 10:-1.8518946 11:1.3379179 12:-3.0766153 13:2.417766 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:245.35484 2:-7.0327992 3:8.89626 4:1.431792 5:1.8772453 6:-0.51277447 7:0.8039038 8:-1.1251919 9:2.4048395 10:-0.7493084 11:1.9358145 12:-2.7941499 13:1.9571658 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:241.88269 2:-8.092608 3:6.7115507 4:1.3099654 5:1.778574 6:-0.6407843 7:0.8769636 8:-1.3768625 9:2.0605261 10:-0.28183657 11:2.2086327 12:-1.9868057 13:3.2681005 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.89267 2:-8.562928 3:5.7263813 4:0.81600463 5:1.3086158 6:-1.5972108 7:2.0765765 8:0.11004378 9:1.7114222 10:0.016478896 11:2.7156491 12:-1.9846809 13:3.0494163 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.35486 2:-8.766662 3:7.586372 4:1.2424592 5:0.54001576 6:-0.9334264 7:1.9622023 8:-0.5727496 9:1.9233477 10:-1.3088982 11:1.2646598 12:-2.430972 13:1.5777378 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.70561 2:-8.283973 3:8.863367 4:1.1751246 5:1.508966 6:-0.13949285 7:0.74187535 8:-1.4248902 9:1.3253917 10:-1.2403861 11:2.5293913 12:-1.2314829 13:2.5279262 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.14027 2:-7.291544 3:8.258704 4:1.8087106 5:3.4966063 6:0.92240316 7:1.0855646 8:-1.2924557 9:1.0887175 10:-2.2255826 11:2.472346 12:-1.9636185 13:1.1432486 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.53352 2:-9.945585 3:5.5256615 4:0.3587513 5:1.7746769 6:-0.49395218 7:1.1223541 8:-1.7290466 9:0.6351729 10:-2.3696153 11:0.5527744 12:-2.5038116 13:1.5759823 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:241.99594 2:-9.602619 3:5.6552367 4:-0.50337654 5:1.1145984 6:-0.9431322 7:1.6602849 8:-1.0763515 9:0.38035905 10:-2.389385 11:1.450541 12:-2.075852 13:0.80011487 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.49866 2:-9.221069 3:5.6719356 4:-0.07066584 5:1.9064451 6:-0.20768194 7:0.28467336 8:-1.2937233 9:1.786903 10:-1.8139265 11:0.22489567 12:-3.43851 13:0.81475246 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.24478 2:-7.8625336 3:7.8679204 4:-0.13809119 5:0.93553764 6:-0.45474532 7:0.70765734 8:-0.8810547 9:0.48231348 10:-2.3358843 11:1.0822184 12:-2.3288863 13:1.9659086 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.48845 2:-7.622922 3:8.022652 4:1.8688375 5:2.0707607 6:-0.8236392 7:-0.09426217 8:-1.4720465 9:1.979945 10:-1.4363871 11:2.0496762 12:-2.412239 13:2.895219 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.97627 2:-9.124985 3:6.7931733 4:1.1550612 5:1.1970377 6:-1.356516 7:-0.5691645 8:-1.3901223 9:0.28012186 10:-2.8401291 11:0.76064634 12:-2.2300665 13:3.9665725 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.55199 2:-8.3327875 3:6.443499 4:1.426965 5:1.380982 6:-1.4544919 7:-0.74168575 8:-0.8285111 9:1.5101562 10:-3.3360567 11:0.3329244 12:-2.7204711 13:2.5534048 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:245.95834 2:-8.014988 3:7.3694277 4:2.7648895 5:2.8702059 6:-0.9282543 7:0.29788065 8:-1.3818874 9:0.6016554 10:-3.1120403 11:1.2349697 12:-2.6423702 13:2.303993 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.08598 2:-7.951109 3:7.654636 4:2.1457143 5:3.369014 6:0.09415043 7:-0.12169569 8:0.13981536 9:2.0034552 10:-0.69411093 11:3.8556519 12:-1.6993724 13:3.551898 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:245.60341 2:-7.5659347 3:6.319763 4:1.9201518 5:2.8181503 6:-0.13643989 7:1.8037585 8:0.40803048 9:3.8189418 10:-1.444534 11:1.062029 12:-3.0536835 13:3.0554726 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:252.63078 2:-4.470482 3:5.976941 4:0.76362735 5:3.5140374 6:-1.1059866 7:-0.35068515 8:-2.6678853 9:2.0606833 10:-2.4338415 11:0.48611084 12:-3.3312862 13:3.047332 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
