1 1:242.62114 2:-8.157638 3:7.0610313 4:-1.2197592 5:0.47655684 6:0.3419364 7:1.950718 8:-0.8608777 9:2.580774 10:-1.0182536 11:1.4682506 12:-3.261821 13:2.2010233 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.04468 2:-8.627339 3:6.969016 4:0.8472385 5:2.0306954 6:1.2645826 7:2.0948925 8:-2.5057967 9:1.321477 10:-2.0405312 11:1.5194623 12:-1.7851946 13:2.7336204 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.76361 2:-7.850172 3:7.945714 4:1.0855271 5:1.7434709 6:0.21580979 7:0.9361444 8:-0.8387624 9:0.7432953 10:-2.9588652 11:1.7834617 12:-1.6462882 13:2.6732712 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:246.90572 2:-6.401591 3:8.558573 4:0.007318065 5:2.5853426 6:1.2191253 7:0.60348296 8:-0.8497419 9:2.113051 10:-1.9237598 11:0.7461774 12:-3.2855864 13:1.0915573 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.32292 2:-8.391221 3:7.664346 4:-0.2607455 5:0.25081292 6:0.035261143 7:2.0983846 8:0.65402967 9:3.3415203 10:-0.571891 11:3.1469703 12:-1.3399248 13:2.4040709 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.77979 2:-7.1295857 3:8.43376 4:0.65179443 5:2.6792042 6:0.17140476 7:1.3861159 8:0.83376926 9:2.5497806 10:-0.37246674 11:1.7300247 12:-1.1385571 13:3.1134386 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.49934 2:-9.228444 3:5.4471064 4:-1.3024433 5:1.2086225 6:-0.6418894 7:2.3296742 8:1.5708214 9:2.8343554 10:-0.4872159 11:2.127232 12:-0.7580511 13:2.8755174 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.54135 2:-8.025873 3:5.8722997 4:-1.3448014 5:1.3749477 6:0.6784508 7:1.0985718 8:-1.5155485 9:3.4006138 10:-0.08714269 11:2.2417746 12:-1.0992568 13:2.6565762 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.72002 2:-9.152928 3:5.3721247 4:-1.7229067 5:-0.8195758 6:-1.0411061 7:0.16240284 8:-2.185091 9:1.3917537 10:-0.31256157 11:2.5698087 12:-1.3223314 13:2.9838758 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.56471 2:-7.934776 3:4.962068 4:-1.1995829 5:0.50157636 6:-1.6661637 7:0.6769413 8:-0.06327934 9:1.1847802 10:-3.1112764 11:1.9560342 12:-1.702221 13:3.6935558 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
