1 1:250.08177 2:-5.8019104 3:7.163867 4:-0.2551286 5:1.1611354 6:-0.7482446 7:-0.6621251 8:-2.0458677 9:1.9408789 10:-1.2773608 11:1.9758112 12:-2.9380572 13:2.0420907 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:267.5555 2:0.116170764 3:1.6228061 4:-5.935271 5:3.3966668 6:0.28630456 7:-0.87600374 8:-2.423223 9:6.2106786 10:0.051221166 11:2.5075967 12:-0.72227407 13:3.6816084 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:247.53415 2:-7.791309 3:4.8981905 4:0.46439794 5:4.3202367 6:1.2960452 7:-0.73467004 8:-2.7715647 9:1.6072173 10:0.08646745 11:4.1048203 12:-0.8626572 13:3.9189904 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:249.82347 2:-5.9542236 3:5.4971976 4:-1.2439008 5:1.6142681 6:-0.6696405 7:1.0701505 8:-1.5886377 9:2.288131 10:-1.8180118 11:1.0679983 12:-1.3287311 13:3.827417 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:252.27525 2:-5.4841022 3:3.9553056 4:-1.2611498 5:3.4860713 6:0.2847624 7:-0.634058 8:-1.5664785 9:3.5052876 10:-1.8398312 11:1.9530325 12:-1.2112137 13:4.082028 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:254.06125 2:-6.2096 3:2.4151738 4:-3.0572917 5:2.1714437 6:-0.063144036 7:0.47966075 8:-1.7955986 9:1.6761749 10:-1.9807346 11:2.8261104 12:-0.2132123 13:4.196987 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:255.29143 2:-4.390702 3:4.642785 4:-0.8337074 5:3.9328012 6:1.3687903 7:0.4238031 8:-2.7860997 9:2.348951 10:-1.5293448 11:3.7827144 12:0.18482602 13:4.643896 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:254.82146 2:-6.2937627 3:3.47784 4:-1.6495545 5:3.623681 6:0.78240985 7:-0.14903326 8:-3.025867 9:3.2170866 10:0.8089456 11:3.9926069 12:-0.056508534 13:3.2577434 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:253.08342 2:-5.510155 3:4.208125 4:-1.7961648 5:2.6582344 6:-0.29813272 7:-1.1341197 8:-1.907638 9:3.4517376 10:-0.5400972 11:2.4900377 12:-0.942067 13:3.1113684 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:259.66602 2:-1.073595 3:8.282427 4:0.86539495 5:4.107081 6:0.49835658 7:0.34794927 8:-1.9145178 9:6.5170383 10:-0.35439694 11:4.2063684 12:0.419848 13:5.2421165 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:279.87997 2:10.932132 3:13.446799 4:-1.4984226 5:6.158636 6:1.6298343 7:1.406205 8:-3.4306107 9:6.548325 10:-2.3568113 11:3.3065715 12:-1.2931089 13:7.2600274 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:290.22046 2:16.34287 3:17.189049 4:-1.1023315 5:7.92298 6:0.46151438 7:0.8365015 8:-4.340945 9:6.171692 10:-3.4182506 11:3.3721657 12:-2.8307667 13:5.694534 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:295.35654 2:19.560148 3:18.665514 4:0.032461364 5:6.0381675 6:-0.89348507 7:0.40959018 8:-7.0688605 9:6.3460813 10:-3.398829 11:4.0314145 12:-4.3379498 13:6.105951 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:305.19785 2:23.896667 3:16.153683 4:-5.1524515 5:4.1205726 6:-1.2258743 7:1.9665102 8:-7.3563814 9:6.2674856 10:-4.9072313 11:4.0532856 12:-4.5368943 13:5.832703 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:308.06537 2:24.908354 3:16.642824 4:-8.069103 5:3.1839054 6:0.27048165 7:2.427725 8:-7.1283712 9:6.980325 10:-4.8654714 11:1.935011 12:-3.9287727 13:5.3048925 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:310.31024 2:24.828903 3:16.170877 4:-8.376724 5:1.7504997 6:-1.3542296 7:4.884353 8:-4.3923903 9:4.7683225 10:-6.0093665 11:2.3384235 12:-4.8809524 13:5.212298 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:317.00717 2:24.710896 3:11.628461 4:-9.049299 5:3.460763 6:-0.19342913 7:5.0600805 8:-5.9116945 9:5.042646 10:-5.7578974 11:1.0263866 12:-5.6032696 13:6.163713 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:315.20105 2:25.962011 3:11.219562 4:-9.91032 5:2.8932898 6:0.47263715 7:5.7483983 8:-5.1614804 9:5.094842 10:-8.49953 11:1.3566545 12:-5.771415 13:5.532447 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:315.7271 2:25.650967 3:10.105538 4:-10.07007 5:3.0288885 6:2.9587767 7:6.481307 8:-5.025308 9:4.9015455 10:-9.161036 11:1.0887214 12:-6.8389726 13:5.5562816 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:317.1673 2:24.450712 3:9.212802 4:-10.6469755 5:4.8331614 6:5.271996 7:9.084723 8:-5.4828954 9:3.4624085 10:-9.865236 11:1.5227889 12:-5.3077583 13:5.3013268 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:315.71112 2:24.219484 3:9.04978 4:-11.268801 5:4.878095 6:8.635388 7:9.054957 8:-4.80097 9:5.1651797 10:-10.2160635 11:2.2552423 12:-5.276236 13:4.24977 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:317.6656 2:22.224312 3:8.701263 4:-10.954667 5:4.9213467 6:11.26206 7:11.136751 8:-5.199204 9:4.6103125 10:-9.855234 11:2.4117293 12:-5.501474 13:5.0392947 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:316.19678 2:21.591463 3:9.845777 4:-11.229777 5:4.726362 6:9.479879 7:12.454039 8:-3.538389 9:4.3632493 10:-9.165242 11:3.2290318 12:-4.125638 13:5.334972 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:309.83185 2:22.563353 3:10.358178 4:-12.299351 5:4.1267757 6:8.660835 7:14.679171 8:-0.46494788 9:5.057853 10:-8.486493 11:2.9238155 12:-5.748977 13:4.3859067 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:300.5338 2:21.21179 3:13.051661 4:-9.897447 5:3.7608428 6:5.473619 7:12.595954 8:0.6774296 9:6.4094143 10:-5.585377 11:2.7950583 12:-5.314953 13:4.607746 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:294.0975 2:18.598925 3:16.333084 4:-6.408258 5:0.62804234 6:3.578142 7:11.47896 8:-0.16473667 9:5.5991635 10:-4.5812573 11:3.7895477 12:-5.5275717 13:3.8622074 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:293.53506 2:14.306548 3:13.392093 4:-4.1293855 5:1.7527971 6:4.2457137 7:7.066803 8:-1.6589292 9:6.1132674 10:-3.9495442 11:4.0919104 12:-6.512873 13:4.213977 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:287.32947 2:11.740793 3:14.357497 4:-1.208512 5:0.8084571 6:2.5705605 7:6.310926 8:-3.3879166 9:5.0512314 10:-3.3648143 11:3.7805476 12:-4.5262036 13:4.802759 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
