1 1:237.2268 2:-7.0161133 3:8.907939 4:2.734571 5:-0.13107339 6:0.0071299993 7:1.4691641 8:-3.6335638 9:-0.2636438 10:-1.9945599 11:3.079738 12:0.27555257 13:3.9041026 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.13957 2:-6.251896 3:8.718871 4:1.6032623 5:2.8669622 6:1.1874721 7:1.2046127 8:-3.553743 9:1.7938558 10:-0.7376068 11:1.6915038 12:-0.9561944 13:2.701803 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:237.49419 2:-6.849184 3:7.82501 4:1.7551872 5:2.2179406 6:0.3104217 7:2.002635 8:-1.6441677 9:1.9836907 10:-1.2740543 11:2.9097266 12:-1.4572808 13:3.177114 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:232.79526 2:-6.130996 3:8.532337 4:1.8153214 5:1.8304908 6:0.8634215 7:2.19501 8:-1.7858944 9:1.5553359 10:-1.9165864 11:2.3149366 12:-1.768577 13:2.3342762 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:234.86989 2:-8.329381 3:5.2043037 4:-0.6372259 5:-0.91625464 6:-0.27859437 7:1.7175255 8:-0.919769 9:3.1230946 10:-2.6067178 11:2.6562805 12:-0.4296103 13:2.05084 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:236.02458 2:-9.15175 3:7.22403 4:2.4622815 5:-0.27087957 6:0.45542592 7:2.4137383 8:-1.7773943 9:1.3109046 10:-2.029247 11:2.7846458 12:-2.6366143 13:1.3531208 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:234.63818 2:-9.28939 3:5.987422 4:1.5222743 5:0.52523685 6:1.6990105 7:0.72698104 8:-2.9517057 9:2.432279 10:-1.4305434 11:3.0122802 12:-1.9626461 13:3.7721965 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.05444 2:-9.6167555 3:6.272355 4:1.5908273 5:-0.3803648 6:0.4356153 7:2.9904277 8:-0.61426586 9:2.1987062 10:-0.72605914 11:3.9036138 12:-1.1751405 13:2.6235147 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:233.04666 2:-10.093161 3:6.766935 4:2.9617047 5:0.4674991 6:0.07324934 7:2.1061356 8:-1.6425842 9:2.6124606 10:-1.2251027 11:2.8308802 12:-0.06179935 13:3.2897067 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.8104 2:-7.836296 3:7.669835 4:3.1605308 5:1.3957795 6:-0.09765043 7:1.3398054 8:-2.2836835 9:1.8087794 10:-0.33610305 11:2.1261287 12:-3.0083368 13:2.7550921 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:236.28833 2:-7.606361 3:8.68791 4:2.7368917 5:0.6823522 6:0.8906387 7:2.0956976 8:-2.3597908 9:0.99774694 10:-2.8508935 11:1.4262428 12:-1.7727791 13:2.760885 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:234.59525 2:-7.01496 3:6.9776716 4:-0.77436364 5:-0.70758855 6:0.18366626 7:2.861802 8:-0.7953261 9:2.84191 10:-0.8607255 11:2.1605577 12:-0.5635827 13:3.1383607 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:237.00127 2:-8.6873455 3:8.528035 4:4.493314 5:1.5871767 6:1.1597877 7:4.413849 8:-0.37711498 9:2.0270433 10:-2.1017876 11:1.3887328 12:-0.9002279 13:3.8050961 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:238.57678 2:-6.9560614 3:9.188828 4:2.8305783 5:1.065342 6:0.042310853 7:1.356057 8:-2.6527941 9:2.6975744 10:-0.43351424 11:1.6407325 12:-1.6188103 13:1.7175118 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:232.71243 2:-7.2229543 3:8.632608 4:2.9636967 5:2.6147373 6:0.6217223 7:1.7415442 8:-2.2358563 9:2.1730912 10:-0.48803502 11:2.674624 12:-1.2768686 13:1.8761756 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:229.19206 2:-10.041037 3:6.6557245 4:1.0564088 5:0.24322218 6:-1.6572716 7:-0.19987532 8:-1.0414386 9:3.243178 10:-0.12230087 11:2.756316 12:-0.23161447 13:2.7756119 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:232.34393 2:-10.402092 3:4.5754027 4:-0.42942202 5:1.0851978 6:-0.7665088 7:-0.30823952 8:-2.1504579 9:0.77846426 10:-0.90311015 11:1.8769919 12:-1.7178043 13:2.661739 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:233.87712 2:-6.804585 3:7.9212923 4:1.0510924 5:0.9865897 6:1.0999662 7:3.4499145 8:-1.1956239 9:1.4280832 10:-1.0048728 11:1.824193 12:-2.6754155 13:1.5229474 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:237.5198 2:-5.0523934 3:10.404854 4:3.0089786 5:2.7927847 6:1.7567409 7:2.0765884 8:-2.0316014 9:2.510911 10:-0.65350825 11:3.7603614 12:-0.026882887 13:3.0147371 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:232.63966 2:-8.385437 3:8.65684 4:4.7632537 5:3.867128 6:1.422903 7:3.256241 8:-0.7654736 9:3.0278919 10:-0.6302037 11:1.8626035 12:-1.8027654 13:2.2902899 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:233.75902 2:-6.535936 3:8.031846 4:1.206803 5:1.8133397 6:0.4544864 7:1.2702461 8:-0.8499533 9:3.8436978 10:0.25871038 11:3.7239032 12:-0.8473006 13:2.6225681 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:236.52415 2:-6.222196 3:7.328707 4:1.5988072 5:1.5720015 6:0.65979534 7:1.9038508 8:-1.2100387 9:3.8235164 10:-0.72517335 11:3.2675788 12:-1.2096107 13:2.2170136 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:234.59683 2:-7.2925887 3:4.659658 4:0.66838133 5:2.8010006 6:-0.41246927 7:0.41723487 8:-2.161105 9:0.59485817 10:-3.2214131 11:1.7805524 12:-1.5693276 13:2.573658 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.08405 2:-7.04069 3:7.1619754 4:1.2835957 5:1.1802074 6:-0.7938521 7:1.0663607 8:-1.3030188 9:2.2941191 10:-0.9247217 11:2.4821436 12:-1.2281097 13:2.0630414 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.75108 2:-7.0572047 3:6.163459 4:-0.28766295 5:1.2791585 6:0.6864705 7:2.627896 8:-1.1523237 9:0.9627821 10:-1.1978436 11:2.9653368 12:-1.7597417 13:2.496056 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:232.56445 2:-7.872551 3:6.776828 4:2.5172231 5:1.8074347 6:-1.0118035 7:0.92542887 8:-2.877984 9:-0.06698845 10:-2.7339323 11:3.2883518 12:-1.1912661 13:2.268179 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
