1 1:275.24536 2:-8.574341 3:6.572948 4:0.24983251 5:0.2825053 6:-2.4042635 7:0.023032563 8:-1.9979829 9:1.7968937 10:-1.6570038 11:0.92693347 12:-2.5525877 13:1.2322581 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:276.3037 2:-7.711073 3:7.0725694 4:0.7689832 5:1.1594104 6:-0.4463909 7:1.3571802 8:-0.015729541 9:3.3714116 10:-0.5222203 11:1.3263206 12:-3.130096 13:1.9314501 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:275.7624 2:-8.742527 3:4.5718355 4:-1.1933773 5:0.44030908 6:-0.49658397 7:1.3674989 8:0.042480394 9:2.7234714 10:-0.8696121 11:2.0034142 12:-1.4814336 13:4.11174 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:278.9666 2:-7.923862 3:4.886569 4:0.12995082 5:1.6197444 6:1.1533587 7:3.2586205 8:0.48858297 9:3.0178194 10:-2.056342 11:1.8017129 12:-2.4506686 13:2.2513053 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:325.67157 2:16.574728 3:8.978388 4:-6.911971 5:5.8500195 6:1.5967503 7:6.027895 8:-2.6092088 9:9.566757 10:0.6354615 11:5.516317 12:-4.0490475 13:6.19777 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:342.7149 2:21.122288 3:6.739879 4:-7.029083 5:6.1304274 6:0.80050457 7:4.4579234 8:-4.8223376 9:11.208026 10:-0.70127344 11:5.1131616 12:-3.7385347 13:6.330458 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:352.2315 2:20.984327 3:7.0732293 4:-8.14489 5:7.3866854 6:-0.5427833 7:4.100052 8:-4.772698 9:10.288857 10:-0.9234691 11:4.438687 12:-3.8736005 13:6.199606 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:371.00858 2:26.500763 3:9.7963505 4:-4.790417 5:5.627611 6:-2.632642 7:4.659429 8:-8.580212 9:7.534214 10:-3.8645964 11:5.2379446 12:-6.350442 13:3.6588202 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:383.20084 2:24.711561 3:8.056706 4:-4.814597 5:3.6376867 6:-7.556803 7:3.061192 8:-7.091008 9:8.631927 10:-2.8875322 11:6.015139 12:-8.904335 13:1.8447347 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:387.56262 2:22.746033 3:4.827144 4:-5.196425 5:3.2625835 6:-5.578844 7:5.797857 8:-6.8472896 9:8.663921 10:-1.8221228 11:4.3993564 12:-10.754274 13:0.23795435 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:384.5693 2:20.252909 3:2.6301858 4:-4.213911 5:2.5842652 6:0.7805673 7:8.984979 8:-6.9353137 9:8.353784 10:-3.098887 11:3.3321552 12:-10.873171 13:1.2295105 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:381.0439 2:17.17157 3:0.4754305 4:-2.4803913 5:5.436903 6:4.2366667 7:10.398081 8:-6.5980306 9:7.6414 10:-3.124701 11:3.6192894 12:-9.894721 13:2.5540764 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:374.5047 2:17.353643 3:0.7002322 4:-2.3740973 5:5.763573 6:6.6504054 7:13.198245 8:-6.1816373 9:8.405863 10:-3.3751166 11:3.2798147 12:-9.567419 13:4.339383 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:368.70752 2:20.545172 3:2.159417 4:-4.219505 5:4.698455 6:5.4979787 7:15.36347 8:-4.869447 9:9.570595 10:-1.5402398 11:2.0884418 12:-10.214646 13:5.503522 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:353.3208 2:17.37845 3:8.170069 4:-3.1985354 5:2.8376317 6:1.7576402 7:12.531748 8:-2.288456 9:12.071612 10:-1.371407 11:2.0200477 12:-7.4953756 13:2.9323096 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:335.46686 2:14.621775 3:11.430407 4:-0.84685063 5:4.5542283 6:0.14014004 7:7.9395165 8:-2.8502746 9:9.583771 10:-0.4965449 11:3.228912 12:-5.4400306 13:4.5292516 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:333.90588 2:14.689517 3:11.866401 4:2.4571567 5:6.750179 6:-0.15505722 7:5.9626737 8:-5.6539435 9:7.5462437 10:-2.185867 11:3.5251608 12:-5.3649635 13:5.1835256 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:348.9494 2:21.031324 3:13.561983 4:1.3499074 5:8.100995 6:-2.2499766 7:6.234588 8:-6.7652507 9:6.4973936 10:-3.5001423 11:3.9205577 12:-6.015723 13:5.711544 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:364.362 2:23.566496 3:11.027767 4:0.47586343 5:9.720885 6:-0.44972107 7:4.573563 8:-11.03335 9:5.8463106 10:-4.5544086 11:4.3551283 12:-6.783142 13:4.2013087 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:372.1709 2:25.206371 3:6.1848164 4:1.2389536 5:11.533808 6:-0.47475517 7:2.2393608 8:-12.946752 9:6.4929643 10:-6.621379 11:4.369714 12:-7.7892823 13:4.2606587 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:374.63654 2:25.343332 3:6.956046 4:-1.2804918 5:12.466905 6:-2.6708982 7:0.75121635 8:-11.931865 9:5.375401 10:-5.2716513 11:4.6216803 12:-7.7184505 13:4.349046 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:373.0423 2:28.52402 3:5.7475753 4:-3.4389946 5:10.409971 6:-2.5724976 7:1.6411273 8:-10.4786005 9:6.8135495 10:-5.1513596 11:5.2879853 12:-8.230377 13:3.3302665 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:381.52997 2:24.012463 3:8.8476515 4:-5.7424226 5:8.348025 6:-4.1224403 7:2.2648277 8:-6.7849054 9:7.6789794 10:-2.302053 11:3.375696 12:-8.675064 13:3.6152594 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:373.3614 2:29.859192 3:3.0699575 4:-5.098838 5:8.839751 6:-3.5525198 7:5.817699 8:-7.292999 9:11.292277 10:-1.531582 11:2.4567602 12:-10.025036 13:2.586463 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:373.7382 2:26.291336 3:-0.22344054 4:-4.8283944 5:10.316617 6:0.42044073 7:7.926713 8:-6.551701 9:11.209785 10:-2.5624626 11:2.8566704 12:-10.24383 13:2.877555 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:371.0752 2:21.27695 3:-1.2719572 4:-1.5450821 5:10.036595 6:3.4179664 7:8.998378 8:-5.611488 9:11.869887 10:-5.870809 11:2.4339156 12:-9.168314 13:2.4581394 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
