1 1:275.43967 2:-7.147424 3:8.004174 4:-0.44048283 5:0.16299336 6:-1.3861516 7:0.25353903 8:-0.91879183 9:1.94873 10:-1.8332121 11:1.3337698 12:-2.0714083 13:2.5716562 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:276.45404 2:-6.682816 3:7.492199 4:1.339217 5:1.9440327 6:-0.95119023 7:0.30501184 8:-1.4424813 9:1.7599547 10:-2.1307006 11:0.82838553 12:-3.2666242 13:2.1691391 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:277.2387 2:-7.488375 3:5.45368 4:-1.5913858 5:0.12752692 6:-0.036453612 7:1.2376573 8:-0.6202807 9:3.3525174 10:-1.3124752 11:0.22589141 12:-3.4979148 13:3.0443137 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:322.7622 2:14.640402 3:8.775704 4:-7.3274984 5:5.406788 6:2.2933939 7:5.9304004 8:-0.4750947 9:10.3740835 10:-0.26033238 11:3.5346866 12:-4.798896 13:6.814632 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:339.56125 2:18.470037 3:6.348949 4:-6.356443 5:5.871191 6:0.6643896 7:6.501715 8:-1.9652334 9:10.848765 10:-0.9989112 11:4.488599 12:-4.602102 13:7.4234324 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:339.4199 2:19.071695 3:5.7460318 4:-4.9269238 5:7.208865 6:-0.52547777 7:5.1438956 8:-2.6730363 9:10.902856 10:-1.1269338 11:4.031843 12:-4.5284615 13:7.2143536 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:349.6472 2:22.878487 3:7.9223247 4:-5.1610126 5:7.9245596 6:-0.32479003 7:3.2860303 8:-4.9471292 9:10.168391 10:-2.7964985 11:2.309349 12:-5.2410955 13:6.897776 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:365.90182 2:26.59009 3:9.363418 4:-3.3312118 5:7.2337937 6:-5.1397862 7:1.7449542 8:-8.614707 9:9.395559 10:-2.1040702 11:3.6112394 12:-7.075344 13:5.1450086 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:374.75507 2:23.654339 3:6.2153983 4:-4.8499384 5:4.848227 6:-5.332909 7:2.4758117 8:-8.023106 9:10.775343 10:-0.9278859 11:2.8366916 12:-9.993635 13:2.1808138 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:376.84158 2:24.080547 3:3.4718466 4:-5.462134 5:4.1976113 6:-2.461935 7:6.2847605 8:-7.7348647 9:10.224226 10:-2.219659 11:2.272302 12:-11.1026945 13:1.023835 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
