1 1:272.47736 2:-9.057689 3:7.734958 4:1.4591453 5:0.4172137 6:-0.22336279 7:2.4645174 8:-0.93705404 9:1.0202762 10:-1.098915 11:1.650206 12:-2.316814 13:1.7690188 14:272.47736 15:-9.057689 16:7.734958 17:1.4591453 18:0.4172137 19:-0.22336279 20:2.4645174 21:-0.93705404 22:1.0202762 23:-1.098915 24:1.650206 25:-2.316814 26:1.7690188 
1 1:272.93893 2:-9.9864855 3:6.685482 4:1.442622 5:0.37300825 6:-0.90271676 7:1.3160945 8:-1.0607138 9:1.4648247 10:-1.9314281 11:1.4713835 12:-1.8883319 13:2.0802062 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:276.0191 2:-8.281549 3:6.63967 4:0.18791364 5:2.064308 6:-0.8197114 7:0.67317355 8:-1.2105186 9:1.3337764 10:-0.96990883 11:2.679307 12:-1.3258419 13:2.7854192 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:274.7555 2:-9.844246 3:5.1584773 4:0.20256148 5:0.78875804 6:-0.5819193 7:1.307513 8:-0.31354326 9:2.742007 10:-0.39172027 11:3.3184574 12:-1.517681 13:2.940674 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:277.46255 2:-8.278531 3:4.918325 4:-0.7479863 5:1.40383 6:-0.8702535 7:0.20602855 8:-0.0090214005 9:3.224655 10:-1.6302382 11:0.64373696 12:-2.7204945 13:2.6494644 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:285.67053 2:-5.006373 3:2.9389997 4:-4.499026 5:0.52871203 6:-1.7014538 7:2.2945893 8:1.475224 9:4.8813267 10:-0.1957692 11:1.3337339 12:-3.2962205 13:2.7409742 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:322.2975 2:14.335574 3:9.41882 4:-6.6509886 5:5.7432427 6:1.7621992 7:5.8884797 8:-0.7883538 9:9.41945 10:1.1394898 11:4.5251627 12:-5.3286166 13:6.3480687 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:340.97885 2:20.50126 3:7.1623096 4:-8.371324 5:7.937083 6:0.91997224 7:5.3079696 8:-3.0188653 9:10.693018 10:0.40824133 11:4.820286 12:-5.3392806 13:6.777941 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:342.40518 2:23.91499 3:8.795179 4:-9.408781 5:6.096137 6:0.75913024 7:4.732964 8:-5.159696 9:11.027977 10:-0.46545547 11:4.1497846 12:-4.375287 13:6.830967 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:360.6847 2:19.751068 3:5.4512286 4:-4.5584655 5:5.9405065 6:-1.460357 7:6.8615885 8:-5.9799147 9:8.276134 10:-0.8548292 11:4.7491975 12:-6.225362 13:5.135477 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:377.92593 2:27.243473 3:6.616882 4:-5.8601036 5:6.750051 6:-2.7827342 7:2.6165469 8:-10.96763 9:9.53588 10:-0.96547073 11:4.0464854 12:-8.3874445 13:4.406712 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:385.21945 2:26.932621 3:2.517458 4:-7.0013866 5:3.4340947 6:-3.907657 7:2.8628738 8:-10.998672 9:11.653287 10:-1.8468302 11:4.4552417 12:-9.37023 13:1.4686869 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:390.35284 2:25.56522 3:0.6439584 4:-9.055589 5:4.392563 6:-2.436442 7:5.2200823 8:-8.430344 9:11.351293 10:-2.3935196 11:3.2517292 12:-11.398912 13:-0.51200306 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:388.10294 2:22.522764 3:-1.5556681 4:-7.350509 5:5.2862854 6:1.4564786 7:7.4431014 8:-7.9910436 9:11.582359 10:-3.1215222 11:2.5177884 12:-12.095847 13:0.22239591 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:382.5993 2:18.897837 3:-1.2422403 4:-6.1857805 5:7.0184073 6:4.6615963 7:9.53751 8:-7.5878105 9:10.600093 10:-2.172516 11:1.8774923 12:-9.931011 13:1.8661144 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:374.61932 2:20.779089 3:-0.05434513 4:-6.415008 5:5.5279293 6:6.122297 7:10.947573 8:-5.421883 9:11.929007 10:-2.1483552 11:1.2289089 12:-11.660232 13:4.767959 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:360.65698 2:21.135489 3:4.885156 4:-6.127148 5:5.7511406 6:1.5395238 7:10.78271 8:-2.3663218 9:13.205171 10:0.2307935 11:1.1105701 12:-10.992063 13:4.1893473 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:337.3696 2:17.284615 3:10.907166 4:-1.6366844 5:4.0012994 6:-0.12391252 7:9.092448 8:-1.7359695 9:11.72928 10:-0.24209403 11:2.7732184 12:-7.591312 13:3.9910238 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:324.87946 2:12.975419 3:13.185855 4:1.2296494 5:4.250864 6:1.4757922 7:6.959451 8:-3.273198 9:8.59142 10:-1.3055087 11:3.4196208 12:-6.436961 13:4.0407934 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:334.47476 2:17.371635 3:14.023881 4:1.1363877 5:7.672805 6:0.23133287 7:5.377629 8:-5.523381 9:7.3347354 10:-2.306997 11:2.710174 12:-6.328577 13:5.621931 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:356.24564 2:23.973055 3:10.48851 4:2.0927608 5:8.841887 6:0.6238097 7:4.622797 8:-10.430127 9:6.9829626 10:-3.9182987 11:4.607076 12:-7.04974 13:5.6818714 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:368.1326 2:20.574604 3:10.728479 4:0.36401102 5:10.045681 6:0.18614477 7:2.6939356 8:-12.048431 9:6.4741898 10:-3.4822693 11:3.0381846 12:-6.493039 13:4.4260373 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:365.79373 2:25.146776 3:7.7527537 4:0.5397067 5:10.852324 6:-1.6455567 7:1.7258431 8:-12.473624 9:6.405614 10:-4.432656 11:3.6620317 12:-7.1906056 13:4.8860164 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:370.3983 2:24.270485 3:4.9309335 4:0.9148686 5:9.398473 6:-2.6359842 7:2.3271277 8:-11.202109 9:7.6995473 10:-3.6664395 11:3.4945822 12:-7.3753886 13:4.4622197 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:372.972 2:26.574581 3:3.6333575 4:-4.0703664 5:9.437068 6:-3.9454741 7:2.3440876 8:-8.662488 9:10.388299 10:-2.0081966 11:3.4187028 12:-9.05014 13:4.128849 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:372.911 2:24.76345 3:4.792372 4:-6.3156667 5:8.757565 6:-1.5210997 7:4.7810307 8:-6.0198565 9:11.084689 10:-1.2812896 11:2.711694 12:-9.896401 13:2.5176609 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:369.48248 2:22.08794 3:1.6689147 4:-5.1097455 5:12.156644 6:1.8311999 7:7.39547 8:-3.9003692 9:10.678604 10:-2.678612 11:2.9514642 12:-10.040755 13:2.6591146 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:364.4475 2:19.803938 3:-0.5361735 4:-2.213905 5:11.590362 6:5.0829396 7:10.786972 8:-4.7700458 9:10.728472 10:-4.518046 11:1.6556093 12:-9.203549 13:3.8418355 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:351.50262 2:10.968528 3:0.98296326 4:2.722748 5:10.061327 6:5.2324195 7:9.7242565 8:-2.9395483 9:10.228479 10:-5.6372395 11:1.5674164 12:-6.097219 13:4.615618 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:347.58548 2:1.0576195 3:-5.7551055 4:11.002017 5:10.670936 6:-1.9890888 7:5.3842874 8:-3.1322856 9:12.344167 10:-6.472415 11:0.69226116 12:-1.3442719 13:5.41203 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:356.70584 2:-11.002136 3:-12.812098 4:11.544763 5:6.7250733 6:-4.4057636 7:5.3551564 8:-4.7749696 9:9.574811 10:-5.5535293 11:1.1610821 12:-1.3522348 13:3.671589 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:361.8905 2:-13.603482 3:-13.4461975 4:10.009472 5:5.9601164 6:-1.3866072 7:8.257278 8:-4.111503 9:6.7297263 10:-6.3557973 11:0.97558784 12:-0.40166548 13:4.0012007 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:363.974 2:-11.040447 3:-14.9697075 4:6.7500486 5:4.2432876 6:-1.365544 7:7.6209445 8:-4.5906997 9:5.9424853 10:-6.951104 11:0.5581401 12:-2.296868 13:4.52047 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:355.0297 2:-6.3899803 3:-14.490173 4:6.247415 5:5.778744 6:-1.0078858 7:8.1062975 8:-3.7028422 9:7.3502116 10:-6.1853323 11:0.26534474 12:-3.4394763 13:4.7333083 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:353.49652 2:10.143584 3:-2.6539078 4:0.23392464 5:8.80164 6:3.5666971 7:10.935309 8:-2.4652736 9:10.17737 10:-4.2154317 11:0.36312637 12:-5.4323573 13:4.038466 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:379.68427 2:15.477749 3:-2.8954298 4:-0.2506077 5:9.349247 6:4.1720004 7:13.128298 8:-3.56404 9:11.401693 10:-2.9692242 11:0.33796677 12:-8.134687 13:5.0886474 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:374.04468 2:16.893007 3:-4.018707 4:-0.8288703 5:9.630059 6:3.7102726 7:11.656619 8:-3.3369648 9:13.635148 10:-3.2993672 11:-0.24043433 12:-8.4665165 13:4.862184 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:370.06262 2:10.539645 3:-6.734375 4:7.106485 5:9.231888 6:-1.3082594 7:11.966499 8:-0.75126135 9:15.120501 10:-3.4468358 11:-0.87774 12:-6.0735497 13:3.496207 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:369.2589 2:-5.811625 3:-8.369209 4:19.601154 5:8.408965 6:-6.0842214 7:8.94127 8:0.02279239 9:16.81045 10:-5.5071435 11:0.5946261 12:-3.5486863 13:1.5561608 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:370.28287 2:-2.9892037 3:-9.164618 4:16.139536 5:10.284305 6:-4.271714 7:7.7337437 8:-2.0101748 9:16.228271 10:-3.7962575 11:1.447083 12:-5.207354 13:2.462211 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:352.03735 2:14.833352 3:2.451267 4:1.4032296 5:9.663454 6:0.46260023 7:8.854756 8:-1.4567944 9:11.564645 10:-2.5227594 11:3.822565 12:-5.82493 13:2.9768944 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:348.3821 2:15.7336235 3:6.3895626 4:-1.8507231 5:10.033266 6:0.46326482 7:8.843195 8:-0.72380567 9:10.677911 10:-2.9074676 11:1.0028222 12:-5.174003 13:7.6040444 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:352.21487 2:17.245607 3:4.0354586 4:-2.264711 5:9.626784 6:0.17080209 7:8.387094 8:0.020570017 9:12.262543 10:-2.7259212 11:0.58163196 12:-5.6084538 13:9.092108 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:367.4552 2:19.424326 3:3.3735764 4:-3.4016097 5:9.301621 6:-4.1103287 7:6.619531 8:-2.1150637 9:10.507537 10:-0.4816509 11:1.3895464 12:-4.7750883 13:6.8541355 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:381.22418 2:24.364622 3:1.2244118 4:-5.539349 5:7.8239355 6:-2.8623521 7:6.7577314 8:-5.2841105 9:10.5864315 10:0.25425082 11:0.495961 12:-11.414557 13:4.5913987 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:378.35684 2:19.578093 3:-1.4820491 4:-5.205951 5:7.9749503 6:1.6476691 7:7.760711 8:-4.981733 9:10.5859375 10:-2.9546802 11:0.38503 12:-11.7693815 13:5.155755 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:372.55054 2:18.360554 3:-2.0392227 4:-5.7129216 5:12.660324 6:4.916191 7:7.513376 8:-5.9268885 9:10.130945 10:-2.7617087 11:1.5520654 12:-8.880266 13:5.577157 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:365.4634 2:16.507448 3:0.06266295 4:-2.0444498 5:10.717673 6:7.3919806 7:9.444357 8:-5.4763613 9:10.273452 10:-2.436323 11:1.4265946 12:-8.772353 13:6.316398 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:343.42743 2:14.844396 3:7.2162423 4:-1.0898324 5:6.9893947 6:3.7296963 7:10.856269 8:-1.8734995 9:12.574362 10:0.6750972 11:0.5212235 12:-8.565142 13:5.764083 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:318.14584 2:5.4989843 3:7.5044565 4:2.0887332 5:4.494346 6:-1.5717843 7:9.31696 8:0.84206927 9:6.503069 10:1.2360065 11:1.4348414 12:-7.1521697 13:4.956478 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:312.69675 2:-1.7326775 3:6.5651875 4:4.0471783 5:2.8800375 6:-1.5672296 7:7.9998283 8:-1.5712719 9:3.7658732 10:0.44630912 11:-1.5596744 12:-7.5090857 13:3.606885 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:356.05475 2:3.7429104 3:-4.1651692 4:-0.83567184 5:2.1026638 6:-2.8481464 7:6.6033845 8:-3.8809218 9:6.48897 10:-2.8395088 11:2.0219607 12:-4.1632495 13:0.9846949 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:340.1283 2:4.4137664 3:-1.5284736 4:0.3002632 5:3.2287323 6:-1.2574524 7:6.938975 8:-2.2095037 9:6.736601 10:-1.477797 11:2.7234356 12:-4.105339 13:1.7185094 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:340.62112 2:11.718144 3:14.673889 4:1.299048 5:4.9937596 6:-1.1852348 7:0.8975635 8:-6.4178042 9:4.1647105 10:-3.253765 11:2.9693103 12:-5.967401 13:2.8182018 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:380.36124 2:24.095871 3:5.926634 4:-0.2421669 5:7.5078616 6:-4.4355617 7:2.275663 8:-10.826301 9:7.8663845 10:-3.012195 11:3.0499249 12:-7.0366116 13:4.445311 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:385.46948 2:25.936163 3:4.6725936 4:-2.771346 5:9.836283 6:-4.8002105 7:2.0334601 8:-11.69269 9:7.4861803 10:-2.0230632 11:3.9092908 12:-6.0359282 13:4.7184634 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
