1 1:359.93134 2:19.092741 3:5.891072 4:-3.4830892 5:6.5078235 6:8.442471 7:12.693729 8:-6.839325 9:6.1757317 10:-2.7505548 11:5.148221 12:-8.591998 13:3.6823006 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:350.07117 2:16.99471 3:9.454663 4:-3.6782455 5:6.248856 6:5.3254037 7:12.606961 8:-2.5750768 9:10.08014 10:-1.6605356 11:2.7292793 12:-8.821518 13:2.292416 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:323.25827 2:14.962964 3:14.285357 4:-2.2163243 5:4.7026544 6:1.8890663 7:10.180332 8:-0.87661016 9:9.457408 10:-0.5696815 11:3.5131679 12:-6.595464 13:2.4558342 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:311.50174 2:9.570384 3:16.340267 4:1.9206551 5:5.315082 6:1.031225 7:8.695903 8:-0.34729436 9:7.7395525 10:-1.5385177 11:4.1329627 12:-4.9334316 13:2.8094656 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:325.98706 2:12.357646 3:16.99498 4:2.922596 5:5.7820597 6:0.28951856 7:6.566547 8:-4.255695 9:6.180442 10:-2.7861474 11:4.325438 12:-3.9393885 13:3.0602958 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:347.22983 2:22.962234 3:15.551504 4:1.6420913 5:8.298283 6:2.0265107 7:5.563578 8:-12.0774 9:4.527708 10:-3.627264 11:5.4453 12:-4.671269 13:3.9255376 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:359.8543 2:24.302834 3:11.91644 4:1.8216866 5:10.105986 6:0.9697967 7:4.380376 8:-13.9841 9:3.501192 10:-3.766895 11:6.93916 12:-5.7034087 13:3.3551898 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:368.35907 2:24.200222 3:8.043043 4:2.6473904 5:10.642491 6:-0.2984093 7:3.674059 8:-15.033102 9:4.0552278 10:-3.4926562 11:6.5376554 12:-6.88474 13:3.7173538 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:373.9992 2:26.222624 3:6.1735334 4:1.7095172 5:9.583254 6:-0.61487126 7:2.4120338 8:-14.886909 9:5.9466476 10:-3.4993773 11:6.4061575 12:-7.2422953 13:5.425901 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:378.03033 2:28.164328 3:4.548113 4:-1.0377601 5:5.689817 6:-2.522409 7:3.6878753 8:-13.192256 9:9.397857 10:-2.2651694 11:5.308957 12:-6.419362 13:4.1914835 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:380.75003 2:27.889772 3:2.979117 4:-3.810103 5:5.273036 6:-2.8703835 7:5.701731 8:-9.417973 9:12.509906 10:-1.7971432 11:3.2092056 12:-8.710832 13:2.322891 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:380.9765 2:23.03644 3:3.8267865 4:-6.7199364 5:6.9132056 6:0.98160034 7:7.895595 8:-5.7489443 9:13.352816 10:-0.6072547 11:1.6349151 12:-10.336957 13:1.2714934 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:373.16397 2:21.299202 3:-0.048422407 4:-3.9028504 5:8.318014 6:4.6618247 7:10.316102 8:-6.757353 9:11.459373 10:-0.23928298 11:3.3079243 12:-10.47359 13:4.047051 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:369.3418 2:15.889197 3:0.47186998 4:-1.2552322 5:10.328 6:5.5262856 7:9.937112 8:-5.453346 9:10.260131 10:-1.9507709 11:2.2451656 12:-7.9493484 13:5.4643965 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:354.08557 2:9.425416 3:2.9487023 4:4.291403 5:8.944091 6:6.0854387 7:10.611831 8:-4.0775566 9:10.747053 10:-2.908692 11:2.3172495 12:-5.277356 13:4.973419 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:353.16995 2:-1.2586651 3:-7.870468 4:8.421808 5:8.494375 6:0.6576204 7:7.3954577 8:-4.903997 9:10.000428 10:-5.3974357 11:2.4618707 12:-1.3350155 13:4.4811845 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:357.279 2:-9.821113 3:-12.348178 4:10.029058 5:5.3263 6:-1.383409 7:6.7943993 8:-4.055031 9:11.379488 10:-5.403325 11:1.6014241 12:-1.2950795 13:3.8024685 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:367.02905 2:-12.109097 3:-14.928146 4:7.508534 5:3.5904946 6:-3.2170508 7:7.247183 8:-5.2079544 9:9.010643 10:-6.2891755 11:0.53383774 12:-0.96054256 13:3.244784 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:367.6574 2:-10.247872 3:-14.820686 4:8.160697 5:5.948145 6:-2.3844361 7:7.6119704 8:-4.9704385 9:8.586756 10:-5.0775743 11:0.50968206 12:-1.4952232 13:4.2563863 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:358.3653 2:-7.949863 3:-15.910707 4:5.7781453 5:6.4398246 6:0.42530668 7:10.306467 8:-3.7200036 9:7.431778 10:-6.230558 11:0.5381552 12:-0.71544063 13:5.654642 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:344.89664 2:2.264977 3:-5.1541295 4:1.6103809 5:7.716248 6:-0.408903 7:7.71113 8:-2.4037724 9:6.951296 10:-5.04333 11:0.9030834 12:-1.8129241 13:4.4637218 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:367.25128 2:16.10995 3:-0.5773824 4:0.7784404 5:10.951147 6:3.8079348 7:12.076558 8:-2.9492433 9:12.075082 10:-1.9906113 11:0.4996711 12:-7.4374557 13:4.2840223 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:368.49805 2:17.372383 3:-1.4554023 4:1.5145118 5:8.636559 6:1.8324893 7:13.9116 8:-2.1320837 9:12.333924 10:-3.5860386 11:1.091836 12:-7.357369 13:3.7662334 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:368.60126 2:9.084222 3:-2.1075711 4:6.5670304 5:9.425027 6:-2.6106405 7:11.784163 8:0.08913805 9:13.329452 10:-3.4709976 11:-0.0922155 12:-5.1826615 13:2.7980723 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:366.3108 2:-1.4416069 3:-8.01386 4:17.2364 5:9.716632 6:-4.67491 7:10.366683 8:-0.7005056 9:14.649034 10:-4.502458 11:0.77898276 12:-5.246068 13:1.960754 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
