1 1:332.4379 2:16.361124 3:10.702443 4:-3.921031 5:5.504085 6:0.1472585 7:7.376997 8:-0.26616836 9:11.279725 10:-0.61888623 11:4.456679 12:-4.6913443 13:6.361717 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:341.3667 2:16.363344 3:6.3559127 4:-3.5797727 5:6.0954356 6:1.6688864 7:7.5640674 8:-2.120594 9:10.254246 10:-1.4155365 11:5.136234 12:-4.373887 13:6.9425316 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:345.5429 2:16.607138 3:5.4891624 4:-1.9995382 5:7.4676647 6:1.0021203 7:6.0680013 8:-3.9807768 9:11.685989 10:-1.0690747 11:4.434299 12:-3.840665 13:6.492405 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:359.13406 2:17.670525 3:8.381611 4:0.8390696 5:8.386155 6:-1.8950313 7:3.955005 8:-5.5231442 9:9.731864 10:-2.7264798 11:2.9716408 12:-5.46205 13:5.3830442 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:372.62244 2:24.492615 3:10.260005 4:-0.6051731 5:6.341706 6:-5.815428 7:1.8250791 8:-9.583539 9:9.921884 10:-2.0956771 11:3.3317645 12:-7.212874 13:3.7553525 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:378.24567 2:24.525665 3:7.2158628 4:-3.517893 5:3.7525477 6:-6.335451 7:4.8200183 8:-8.499287 9:9.512768 10:-0.19088681 11:2.8084161 12:-9.746456 13:0.6700206 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:380.6742 2:22.073286 3:4.9224944 4:-3.8974068 5:3.8930943 6:-2.4405909 7:7.4375257 8:-7.2172813 9:8.421903 10:-1.6478769 11:3.2339973 12:-11.112627 13:1.3505083 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:383.47464 2:17.355545 3:1.768087 4:-2.802959 5:5.8576984 6:2.6624782 7:9.522897 8:-7.247442 9:7.256576 10:-2.786515 11:3.7293923 12:-9.812309 13:2.572687 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:382.0511 2:17.474707 3:-0.19601879 4:-3.3657913 5:6.4336767 6:6.514352 7:11.086356 8:-7.227434 9:8.079215 10:-2.9167504 11:3.1882331 12:-9.839127 13:4.3319216 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:379.7057 2:18.572618 3:0.88409203 4:-5.9049506 5:7.194664 6:7.9871783 7:13.0339365 8:-6.369531 9:10.898573 10:-2.5659602 11:1.2150507 12:-9.650005 13:5.1532774 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:372.22726 2:21.53787 3:3.4032354 4:-7.625732 5:6.0687246 6:6.331742 7:13.088547 8:-4.6967773 9:13.847124 10:-1.2316467 11:0.58174527 12:-10.354836 13:4.812742 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:354.67456 2:19.333532 3:7.495994 4:-4.252479 5:3.6724825 6:1.0540856 7:10.701973 8:-3.2034929 9:11.841291 10:0.2510143 11:2.9344847 12:-8.77854 13:3.8593001 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:342.9181 2:15.430246 3:11.991491 4:0.5643084 5:2.462484 6:-1.4654983 7:7.3380976 8:-3.7606053 9:9.068898 10:-1.8106009 11:4.338656 12:-5.414551 13:3.8343031 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
