1 1:243.85425 2:0.12757279 3:3.5553267 4:4.143168 5:4.4076347 6:0.16283096 7:3.3993917 8:-2.192264 9:3.0954573 10:-1.8927058 11:4.585247 12:-2.3846989 13:3.7877085 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:241.36513 2:0.09543943 3:3.6586833 4:2.5060232 5:4.459478 6:0.313218 7:2.601038 8:-1.9037342 9:4.311163 10:-0.8242802 11:4.904877 12:-0.8834605 13:5.728668 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:236.5746 2:-0.46912995 3:5.2044744 4:4.432708 5:2.3560467 6:-0.85161656 7:1.699591 8:-3.3323774 9:2.7675314 10:-3.030584 11:3.086731 12:-1.4235626 13:4.5454855 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:241.63081 2:1.6286033 3:2.7545702 4:1.0062437 5:2.6413772 6:-1.0510069 7:1.5762013 8:-2.93073 9:3.2363105 10:-1.8240092 11:2.7420044 12:-2.6934083 13:5.1097 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.57776 2:0.89369345 3:3.894891 4:2.5833642 5:2.2277846 6:-1.6574447 7:1.3852634 8:-4.0155406 9:1.7250631 10:-4.544248 11:0.74217516 12:-2.575787 13:4.2477994 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.53378 2:1.377977 3:3.098449 4:0.5424337 5:1.3839624 6:-3.2155411 7:1.4619032 8:-2.6293728 9:1.1882309 10:-4.2428293 11:2.118769 12:-3.0810869 13:3.5642402 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:242.965 2:5.046715 3:8.362121 4:3.4180937 5:2.3030303 6:-1.8358895 7:1.988838 8:-5.1659884 9:1.006079 10:-3.5246425 11:1.6860865 12:-4.2066717 13:2.869832 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:243.40079 2:4.0425835 3:6.5145135 4:2.4441094 5:1.4303108 6:-3.6022913 7:1.1729391 8:-4.920363 9:-0.06992594 10:-4.814491 11:0.16498958 12:-4.9473147 13:3.4519167 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:243.06299 2:3.6987963 3:6.446242 4:2.2336504 5:1.9273909 6:-3.5539522 7:-0.20945302 8:-4.4362884 9:0.29287124 10:-5.9676538 11:0.58473295 12:-4.5282617 13:3.197617 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:244.88419 2:5.208303 3:5.685287 4:2.7725182 5:1.734188 6:-2.0443645 7:2.4510617 8:-3.098081 9:2.0836132 10:-5.6201434 11:0.37650615 12:-5.309445 13:3.7701871 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
