1 1:243.71983 2:-8.113877 3:7.209532 4:0.98272055 5:2.0630863 6:0.10199906 7:1.9472903 8:-0.30889466 9:3.4107091 10:-1.6871506 11:1.71269 12:-1.8560202 13:2.466675 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:243.85487 2:-8.348408 3:7.6956863 4:1.965709 5:1.554941 6:-0.27077663 7:1.4559243 8:-2.335833 9:1.1254112 10:-0.8667209 11:2.675266 12:-2.0734487 13:2.8673885 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.69212 2:-7.494742 3:6.6798525 4:0.7197353 5:1.4642966 6:-0.22297065 7:1.0744109 8:-1.8244303 9:3.5526261 10:0.2920935 11:3.808121 12:-0.2720019 13:2.4654114 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:243.37291 2:-9.464226 3:6.859134 4:1.6835979 5:0.57823133 6:1.4915645 7:2.6662135 8:-0.7278798 9:1.9045674 10:-1.7541198 11:1.8293895 12:-1.1715543 13:4.0938926 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.47646 2:-7.976471 3:6.1914015 4:0.8750875 5:2.182015 6:0.60147804 7:2.9398327 8:-0.28254858 9:3.1733596 10:-0.581557 11:1.5539 12:-1.568524 13:3.5341127 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:242.97784 2:-9.2524605 3:7.2237773 4:0.6492468 5:0.5712648 6:1.0554996 7:4.0200934 8:1.154747 9:3.945456 10:-0.110234454 11:2.5632174 12:-1.1085666 13:2.2967408 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:243.1138 2:-9.763457 3:6.5224924 4:0.20796177 5:0.70955545 6:0.4194935 7:1.2060164 8:-0.7998789 9:1.4889393 10:-1.1302187 11:2.5561907 12:-1.7795758 13:2.773722 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:242.92435 2:-8.914062 3:7.3019934 4:-0.70282763 5:0.03802084 6:0.2851026 7:1.1853392 8:0.14249115 9:2.2517865 10:-1.3966022 11:3.9987094 12:-1.7755889 13:1.5744514 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:242.86688 2:-9.954646 3:6.8178926 4:0.4484153 5:0.015559276 6:-1.317811 7:1.0376773 8:-0.4067926 9:1.4514925 10:-2.2740912 11:1.7427607 12:-1.9756249 13:2.4175858 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:242.76538 2:-10.216871 3:6.644661 4:0.47161788 5:1.8664752 6:0.2666312 7:-0.72077817 8:-2.3552275 9:1.172455 10:-1.6293845 11:1.7280711 12:-1.3282157 13:3.237496 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:246.73982 2:-8.192126 3:8.543001 4:1.1358391 5:1.3203087 6:0.99121314 7:2.0213318 8:0.018309684 9:2.4495893 10:-2.2409174 11:2.8009903 12:-0.8470735 13:2.7922606 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.70395 2:-7.2284045 3:7.07348 4:-0.81974584 5:0.4016825 6:-0.40170476 7:0.7075093 8:-0.47213984 9:3.6610618 10:-0.7327933 11:2.358701 12:-0.8503189 13:4.813769 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:241.98093 2:-8.851508 3:7.8442082 4:1.2797433 5:1.1546142 6:0.29345053 7:1.145623 8:-2.389607 9:1.3005706 10:-1.4764866 11:1.32731 12:-1.2538353 13:2.9964933 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
