1 1:234.83229 2:1.59565 3:9.738568 4:2.7220907 5:0.7245454 6:-2.1318045 7:1.4502094 8:-2.9409554 9:2.4600456 10:-2.4556959 11:2.262783 12:-2.417632 13:4.7367015 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:226.02005 2:-1.5657215 3:6.0162253 4:1.1192386 5:-1.3106538 6:-3.8163278 7:1.9228077 8:-2.2870855 9:1.420167 10:-2.9930787 11:2.306134 12:-1.8517612 13:3.883216 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:229.71138 2:1.0400635 3:8.038285 4:3.1812215 5:2.095402 6:-1.8386357 7:2.484467 8:-2.2359736 9:1.5782917 10:-3.0763474 11:1.8590738 12:-3.7755017 13:3.2836947 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:231.66154 2:1.2349309 3:9.231647 4:3.993768 5:2.9635112 6:-0.4572775 7:2.651716 8:-2.1509635 9:3.161255 10:-1.4823666 11:4.6709766 12:-1.8717221 13:3.3149676 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:229.30629 2:-1.810542 3:6.7448845 4:2.5071757 5:0.8013359 6:-3.1465874 7:1.6099339 8:-0.6369608 9:2.7928076 10:-1.5692617 11:3.114847 12:-2.639588 13:1.5037535 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:231.04268 2:1.0255705 3:8.645546 4:4.5142555 5:1.5859393 6:-1.1176625 7:2.9684324 8:-2.1235785 9:3.3402376 10:-1.2221991 11:4.855076 12:-1.9703784 13:4.065754 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.3204 2:-3.2432494 3:4.939833 4:4.52672 5:0.016588453 6:-0.6754582 7:2.661618 8:-3.5430691 9:4.3829985 10:0.6136049 11:2.6769302 12:-3.64328 13:3.6563127 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:235.56094 2:-3.4904494 3:7.7923417 4:2.3257005 5:-1.0458477 6:1.5282516 7:0.17168836 8:-1.9499755 9:3.3674817 10:-3.2892509 11:4.4515133 12:-3.2733614 13:4.0912786 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:250.10812 2:-10.471727 3:5.186062 4:1.1799625 5:-5.5014477 6:5.179024 7:-1.1312772 8:-0.9420488 9:6.4147463 10:-4.4935274 11:3.748331 12:-4.564223 13:5.0273414 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:230.52672 2:-1.2564677 3:5.26062 4:1.0938652 5:0.5104836 6:-1.5951294 7:2.8070474 8:-2.0908835 9:1.4631205 10:-2.709172 11:2.1640239 12:-2.1868982 13:3.625202 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
