1 1:229.94621 2:0.99953103 3:9.103847 4:4.233534 5:2.5407991 6:-0.7645283 7:3.6059146 8:-0.56372225 9:1.9825081 10:-2.355513 11:3.4421268 12:-3.3972487 13:2.4354165 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.49811 2:-1.0017741 3:5.9599233 4:2.1752908 5:0.68463874 6:-1.0095407 7:1.3362471 8:-1.8001187 9:1.9112266 10:-2.9325104 11:1.8743159 12:-4.184981 13:3.1917012 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.65343 2:-0.57333535 3:7.3163543 4:3.2755454 5:2.409099 6:-1.4107105 7:2.029107 8:-1.2429277 9:2.8290038 10:-2.3218248 11:2.1294165 12:-3.7066135 13:4.402126 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.75067 2:-1.3250638 3:6.918753 4:2.9669054 5:3.5441387 6:0.43312967 7:3.036924 8:-2.1152437 9:1.7820413 10:-1.7796806 11:3.2621193 12:-2.6040921 13:3.868786 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.35814 2:-1.8959315 3:5.6860676 4:0.86640275 5:3.226055 6:0.8946113 7:3.4753516 8:-0.7542248 9:2.1996348 10:-2.8769748 11:0.89774364 12:-3.549486 13:2.141667 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:229.33607 2:0.910767 3:9.227203 4:2.7927907 5:1.224912 6:-1.02838 7:1.3445855 8:-2.572372 9:3.6011164 10:-1.8559244 11:3.153736 12:-2.503988 13:3.442033 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.28757 2:-0.014851408 3:7.8955684 4:2.826675 5:1.8950466 6:-1.081689 7:3.450787 8:-0.14352198 9:3.789101 10:-1.3954628 11:3.245338 12:-1.5976516 13:5.271694 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.10265 2:1.9362606 3:8.826867 4:1.2941246 5:1.9384545 6:-0.69646394 7:2.6976342 8:-1.7984939 9:1.8774498 10:-0.6727421 11:4.866857 12:-1.6256636 13:3.4574177 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.4489 2:0.8395793 3:9.1897 4:3.5936546 5:1.0730593 6:-2.2969475 7:3.478275 8:-0.26444235 9:3.6903515 10:0.39364186 11:3.8821964 12:-1.4975706 13:5.097099 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:229.32721 2:-0.28334334 3:6.607225 4:2.8616946 5:3.6333592 6:0.38798994 7:2.8489654 8:-0.65776193 9:2.8865278 10:-1.1188498 11:3.543627 12:-2.8362925 13:3.4646885 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
