1 1:244.01106 2:-8.882628 3:6.630392 4:0.2045091 5:0.16593792 6:-1.3098779 7:0.11168763 8:-1.4457008 9:2.0426607 10:-1.142547 11:2.292716 12:-0.97513044 13:2.4246686 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:247.0268 2:-5.6831636 3:9.89357 4:2.1857345 5:2.5224886 6:-0.86727786 7:-1.2173179 8:-2.3626728 9:1.6950843 10:-1.8844513 11:1.9498347 12:-0.59605247 13:3.1240516 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.45827 2:-9.367069 3:6.717278 4:-0.101585075 5:1.2672458 6:0.2200404 7:1.3219817 8:-1.4071462 9:1.8634851 10:-1.1565596 11:3.1119542 12:-0.40706035 13:3.7317019 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.78134 2:-10.269318 3:5.906478 4:1.0957216 5:0.8302292 6:-0.50676584 7:2.2692149 8:-0.008141518 9:1.6458709 10:-2.24064 11:1.3415153 12:-1.053301 13:4.0623784 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:241.98955 2:-9.678046 3:5.3196363 4:0.06329298 5:-0.17734209 6:-1.1468832 7:1.1462476 8:-2.5802014 9:-0.47757754 10:-2.5966105 11:1.2651303 12:-1.822371 13:2.9625084 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.62997 2:-9.45228 3:6.094324 4:1.3172573 5:-0.20012367 6:-2.0360646 7:0.7934232 8:-1.3114439 9:1.1110789 10:-1.7716999 11:2.2069778 12:-0.76285297 13:2.6664517 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.33324 2:-7.020358 3:8.219694 4:0.75347835 5:-0.22929038 6:-1.9772741 7:1.5735586 8:-0.4916594 9:0.576896 10:-2.803608 11:1.5030686 12:-2.3127549 13:1.5138361 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.21971 2:-9.767568 3:6.937561 4:-0.6931213 5:-0.9386185 6:-1.6933523 7:1.0529623 8:0.1478276 9:1.5917311 10:-2.791666 11:1.5677717 12:-1.7998627 13:1.9308736 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:244.61143 2:-8.509281 3:6.2982764 4:-0.9416335 5:-0.33774966 6:-2.032935 7:-0.072774515 8:-0.2178414 9:2.5923402 10:-0.9555633 11:2.7310896 12:-1.7795811 13:1.7776514 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:244.7057 2:-9.0308695 3:7.4950686 4:1.8516308 5:2.8235939 6:0.28879157 7:0.9386733 8:-0.44765842 9:1.9786016 10:-1.3943009 11:1.353483 12:-1.9437774 13:2.4616346 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.77332 2:-8.342508 3:7.1438613 4:1.2486202 5:1.9018964 6:-0.17918499 7:1.1607882 8:-1.3720155 9:0.57785773 10:-2.0099936 11:1.9393133 12:-1.0018607 13:3.665992 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.15967 2:-7.934793 3:7.4280787 4:0.6695452 5:0.76642185 6:-1.9170047 7:-0.41323408 8:-1.1570599 9:1.049824 10:-3.096366 11:1.4921322 12:-1.6099596 13:2.3518376 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.18216 2:-7.395427 3:9.340755 4:2.462562 5:2.030905 6:-0.20598829 7:1.6313347 8:-0.21676567 9:1.1203427 10:-2.1410646 11:1.4316654 12:-2.561776 13:2.591676 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.11842 2:-7.5827827 3:7.536014 4:0.26435828 5:1.5601171 6:-0.57016945 7:-0.3002729 8:-1.4294403 9:1.9972495 10:-2.4060264 11:1.4246142 12:-2.738229 13:1.1716348 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
