1 1:233.77158 2:1.4079258 3:8.24395 4:2.3053727 5:0.66678756 6:-2.5605547 7:2.1743805 8:-1.7558889 9:1.2700297 10:-2.3876357 11:3.2939446 12:-2.384654 13:3.7228205 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:232.8827 2:2.2250383 3:8.076685 4:1.034705 5:0.4393448 6:-1.3904973 7:1.4834975 8:-2.7767978 9:4.108692 10:0.19752622 11:4.599909 12:-3.4233289 13:3.3178427 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.14183 2:0.8781382 3:8.196375 4:2.094114 5:1.4329 6:-0.6512695 7:2.8719652 8:-2.2619538 9:2.114857 10:-2.0390575 11:2.7243297 12:-2.9106932 13:2.538273 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:232.11707 2:1.3519447 3:7.1590104 4:0.0525213 5:0.88868815 6:-1.977005 7:1.3622938 8:-3.5119648 9:0.6837993 10:-1.8479258 11:3.427477 12:-1.2140708 13:4.895786 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.94046 2:-0.30212796 3:6.33659 4:1.3885387 5:0.14256234 6:-2.8524873 7:1.3825283 8:-2.7693303 9:1.9485745 10:-2.0357137 11:2.3229911 12:-1.9133877 13:4.4048467 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.87778 2:0.8890142 3:7.07733 4:1.1188699 5:2.0960386 6:-0.49324134 7:1.8932098 8:-1.0018588 9:2.1885715 10:-1.4779865 11:2.5568948 12:-2.147009 13:4.3351407 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.15234 2:0.06925583 3:5.949149 4:-0.3716539 5:0.6260706 6:-1.147519 7:0.6476442 8:-3.2381608 9:0.751946 10:-2.0329986 11:3.5222125 12:-2.6713526 13:3.5171924 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:229.97081 2:-0.28826973 3:6.47388 4:2.2208476 5:1.7089306 6:-1.7984532 7:0.77464825 8:-4.8584423 9:0.22099283 10:-2.161773 11:3.0330606 12:-1.1526484 13:4.2003083 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:226.64458 2:-1.2761437 3:6.4375277 4:2.9823258 5:1.2127874 6:-2.5877771 7:0.6214935 8:-1.7933378 9:3.076106 10:-1.1510283 11:3.1213167 12:-0.81608915 13:4.958056 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.03392 2:0.11726102 3:7.0392923 4:1.9169779 5:1.5213387 6:-1.6870755 7:1.875052 8:-2.085406 9:2.417175 10:-1.8872775 11:3.932878 12:-1.9649926 13:2.9567168 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.07082 2:-0.42155877 3:5.690713 4:0.798641 5:1.7489164 6:-1.8107694 7:2.3289526 8:-0.7356908 9:2.8307543 10:-1.1391748 11:3.5205832 12:-1.0512345 13:3.6644676 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.30235 2:-0.53710264 3:7.463605 4:3.5757344 5:1.2142408 6:-2.4518278 7:1.1764562 8:-3.9886148 9:1.3557125 10:-2.2637665 11:1.5356798 12:-3.1936445 13:3.8244357 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:229.60725 2:-0.629921 3:5.3569403 4:1.2748969 5:0.35858014 6:-2.029321 7:0.91838217 8:-1.9289893 9:4.1907387 10:-1.6426593 11:2.1619198 12:-3.4593701 13:2.418868 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:229.89023 2:0.045249622 3:6.631011 4:1.1449583 5:0.28951216 6:-2.040882 7:1.2421378 8:-4.1692057 9:0.65838885 10:-2.8882344 11:2.4388683 12:-2.4805715 13:4.4374595 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
