1 1:249.81558 2:-2.173039 3:5.634102 4:2.0763032 5:2.718174 6:-2.4071465 7:-0.057454046 8:-2.1030252 9:2.4453673 10:-0.55970573 11:4.9558363 12:-1.6557871 13:3.486791 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:251.49422 2:0.11268096 3:5.944982 4:0.98255897 5:1.4153073 6:-2.7840514 7:0.658622 8:-1.2274303 9:2.672528 10:-1.5717865 11:4.1802363 12:-1.537449 13:3.8930914 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:248.80356 2:-1.798847 3:4.9902086 4:1.4810084 5:2.4747455 6:-2.123129 7:1.5198048 8:-0.5482686 9:4.865319 10:-1.4914161 11:5.1360207 12:0.057884883 13:3.2930102 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:244.56596 2:-4.1007514 3:6.3757577 4:0.6520589 5:1.0624751 6:-2.4821348 7:0.40657976 8:-1.3787781 9:4.1289225 10:-0.83096576 11:3.4763267 12:-0.25387684 13:3.957077 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:258.02966 2:-4.808779 3:0.73473966 4:2.8612163 5:2.726 6:-2.3772407 7:-0.21680337 8:-4.2549806 9:4.9432545 10:2.8313193 11:2.2630863 12:-6.6742167 13:3.2454083 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:249.14001 2:-3.0275185 3:4.585043 4:-0.484233 5:1.3704655 6:-2.1221523 7:-0.5736955 8:-3.5699177 9:2.9550557 10:0.64255375 11:2.955219 12:-3.0379155 13:1.9374273 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:246.92216 2:-1.0811042 3:7.1167946 4:0.018340304 5:3.1887932 6:-0.09050305 7:0.6362641 8:-1.2407453 9:3.4532065 10:-0.95408934 11:3.9277456 12:-2.3760903 13:1.7954779 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:249.77946 2:0.7137478 3:9.930448 4:0.31573093 5:1.8006188 6:-3.2106228 7:-2.245502 8:-3.5154848 9:2.330847 10:-1.024406 11:3.1951463 12:-1.9210573 13:2.9634812 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:244.80441 2:-2.3690188 3:5.787148 4:-0.5161506 5:1.6707901 6:-2.4652998 7:-0.9970697 8:-4.069952 9:0.66714656 10:-2.126479 11:0.858806 12:-3.0505183 13:3.4950871 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:240.4241 2:-3.6938848 3:6.6888723 4:-0.62008286 5:4.398812 6:0.1755482 7:2.020337 8:0.48702535 9:3.5199046 10:-1.9950194 11:0.68207693 12:-1.6461457 13:3.2010648 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.61574 2:-5.20621 3:4.104612 4:1.4266198 5:2.5963442 6:-1.194854 7:0.5270312 8:-2.9434338 9:1.8808098 10:-2.4836526 11:1.6553504 12:-2.8294055 13:1.7937726 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.22415 2:-3.1640148 3:6.853855 4:1.3591694 5:1.7302895 6:-0.59300745 7:1.6204258 8:-2.3458948 9:1.7417935 10:-3.2548072 11:1.5609657 12:-0.5355835 13:3.0199862 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.61212 2:-2.7829077 3:4.4239507 4:-1.617202 5:0.2554687 6:-1.1295967 7:0.67350566 8:-0.6918902 9:4.010935 10:-0.47631252 11:2.8278391 12:-1.1798775 13:3.3753889 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
