1 1:247.52023 2:-9.974756 3:5.357333 4:2.3985422 5:2.3100674 6:-0.21177538 7:2.6945293 8:-0.7324082 9:2.7498338 10:0.63952404 11:2.8703623 12:-1.7745522 13:2.0953026 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:248.28238 2:-9.52301 3:6.406379 4:1.1728686 5:-1.1909301 6:-2.1332386 7:0.7196113 8:-1.2234976 9:1.7421086 10:-1.0934427 11:2.3756301 12:-0.65153486 13:4.15452 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:249.89659 2:-10.84753 3:7.0756497 4:3.3432884 5:0.987692 6:0.03719129 7:1.9970503 8:-1.1869453 9:0.25615728 10:-1.9817529 11:2.547383 12:-2.0177336 13:1.9131964 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:248.1957 2:-9.006062 3:7.035473 4:3.2016249 5:1.5682149 6:-0.97031444 7:1.265428 8:-1.2438625 9:2.5571384 10:-0.8667431 11:2.0044382 12:-1.1552775 13:2.8603096 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:244.60478 2:-11.217085 3:6.4095125 4:3.018884 5:1.125762 6:-0.88785213 7:2.8948286 8:-1.0980885 9:2.2233016 10:-0.27700388 11:2.206696 12:-0.7330905 13:3.3901103 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:248.68419 2:-8.26644 3:5.8901105 4:0.9240746 5:0.99904585 6:-1.1695713 7:0.9354909 8:-2.521791 9:-0.29875886 10:-1.5118393 11:1.0057586 12:-3.442235 13:2.263981 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:245.04807 2:-10.987455 3:3.541936 4:-0.98681563 5:-0.9492925 6:-0.9976069 7:0.7550597 8:-1.377528 9:4.078574 10:1.0503868 11:3.3325036 12:-0.98789316 13:3.3046317 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:251.25179 2:-7.6407585 3:6.868732 4:1.3954238 5:0.6945451 6:-1.4891181 7:0.5577427 8:-1.9463397 9:1.5470763 10:-1.9089998 11:0.8495311 12:-2.7314613 13:2.0877275 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:245.36479 2:-12.319741 3:5.441166 4:3.188854 5:1.9492593 6:-0.63179564 7:1.1533016 8:0.2867627 9:3.2889233 10:-2.3111868 11:1.0123199 12:-1.985466 13:3.3003347 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:246.65862 2:-10.71028 3:3.9374053 4:0.67511135 5:1.8514276 6:0.22683388 7:1.2584563 8:-2.5590527 9:1.8202614 10:0.31176007 11:2.9059691 12:-0.46264637 13:3.135942 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
