1 1:283.38675 2:-12.193354 3:7.5515513 4:5.182027 5:-0.65113974 6:-0.2761994 7:3.204618 8:-3.4954903 9:2.1017385 10:-2.3327768 11:1.5176959 12:-1.280931 13:3.0953834 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:293.97345 2:-18.559835 3:6.392063 4:4.8462024 5:-2.8580868 6:-1.6684619 7:3.8289874 8:-0.5103 9:1.6102414 10:-0.47027278 11:1.3945887 12:-1.3987758 13:2.4848936 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:338.23373 2:-12.296706 3:2.0568905 4:-0.60613734 5:3.2557123 6:-4.5832233 7:0.11432996 8:-0.43933085 9:2.0475178 10:-0.18077846 11:1.702372 12:-0.7010762 13:0.5334266 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:333.2716 2:-8.915859 3:4.4383855 4:0.3992897 5:5.756107 6:-3.9971416 7:0.25654653 8:-0.1772025 9:1.0986732 10:-0.940155 11:2.0166929 12:-1.4192696 13:0.45247343 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:286.0399 2:-7.6829967 3:10.740329 4:6.2649517 5:3.5766478 6:1.9476082 7:2.9409287 8:-1.1540842 9:2.3014495 10:-3.5449913 11:1.4391159 12:-1.1004087 13:4.1493726 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:295.0813 2:-11.819924 3:5.045492 4:2.0597258 5:2.8754435 6:1.8646622 7:1.6985743 8:-1.3693864 9:2.5932887 10:-1.1780646 11:1.7445139 12:-0.6022544 13:2.2844765 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:297.99637 2:-15.31959 3:3.4943562 4:3.3653183 5:1.8349198 6:2.6214294 7:4.8412066 8:-3.5024505 9:2.2307782 10:-0.7553586 11:0.61017394 12:-0.9266802 13:3.579407 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:303.68726 2:-13.110289 3:5.118486 4:4.1784744 5:1.549733 6:2.185093 7:4.2127476 8:-3.3302574 9:0.3742799 10:-2.3237772 11:2.689339 12:-0.23634008 13:4.061192 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:297.05356 2:-13.721434 3:4.3310094 4:0.82422376 5:0.1922289 6:-1.0411 7:-0.24183401 8:-4.535637 9:-0.05681034 10:-1.739626 11:0.9746509 12:-2.1977537 13:2.6065907 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:297.81198 2:-12.423988 3:3.7624557 4:0.64845735 5:1.0439543 6:0.53517824 7:1.7171323 8:-2.4826937 9:2.216598 10:-2.301312 11:2.664568 12:-0.51148283 13:2.415811 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:300.678 2:-11.907934 3:3.766389 4:-0.02569683 5:-0.27556497 6:0.010908783 7:1.1863356 8:-2.243474 9:0.66535866 10:-3.7883065 11:1.8111241 12:0.1865941 13:2.8946226 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:305.23404 2:-9.317376 3:10.920489 4:2.4549153 5:-0.221599 6:1.1265839 7:2.6315694 8:-1.3950288 9:1.6981865 10:-1.141337 11:1.5820801 12:-0.89233994 13:2.4561865 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:291.54337 2:-7.8346252 3:11.126258 4:5.1179404 5:1.8419477 6:2.509827 7:3.7919145 8:-0.78155416 9:1.7107041 10:-1.6586639 11:1.5717651 12:-3.2582498 13:3.0704396 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
