1 1:216.85472 2:-0.27916503 3:6.5769715 4:2.827315 5:1.5687714 6:-3.524833 7:0.25793558 8:-2.4459329 9:2.0780122 10:-3.0181446 11:1.9744128 12:-2.606983 13:4.351077 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.83725 2:1.5203384 3:9.329918 4:4.0329638 5:2.9602783 6:-1.2574741 7:1.5280268 8:-2.424003 9:2.1949732 10:-3.3922842 11:4.4069867 12:-1.4457037 13:3.9347577 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.31317 2:0.6803311 3:8.0024605 4:1.9850771 5:2.0151196 6:-0.2471905 7:2.9584677 8:-2.2768753 9:2.3691459 10:-0.60691684 11:4.947076 12:-1.6535847 13:4.531202 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.74843 2:0.6628262 3:7.231995 4:3.3163383 5:2.7221513 6:0.40661258 7:1.9331115 8:-2.4694107 9:2.729075 10:-3.6272547 11:3.2691414 12:-1.3938776 13:3.975343 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:221.26534 2:3.0389888 3:8.629964 4:3.2887306 5:2.570109 6:-0.9313524 7:2.1089268 8:-1.9272628 9:2.5896895 10:-2.7983053 11:2.0490432 12:-4.278881 13:3.303085 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.44336 2:-1.4982944 3:5.6394405 4:2.3348634 5:1.0157788 6:0.45369354 7:3.0254004 8:-2.0723367 9:2.4837923 10:-1.4242283 11:3.267206 12:-3.681219 13:1.8438462 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.63425 2:-0.49815807 3:6.898874 4:3.2270947 5:3.2390401 6:0.559946 7:3.535841 8:-1.6139957 9:2.7606666 10:-2.5458465 11:3.3515074 12:-2.8886623 13:3.903697 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.10597 2:1.6578866 3:8.308244 4:2.7263048 5:2.276833 6:-0.7098801 7:3.1274364 8:0.25511366 9:4.960739 10:-1.7924669 11:3.3360875 12:-2.4775593 13:3.3608232 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.38469 2:-1.5704514 3:5.1409245 4:2.516039 5:3.79905 6:1.3215299 7:4.0577936 8:1.2067323 9:4.7970967 10:-1.5215296 11:2.956032 12:-3.273816 13:3.2134678 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.76138 2:-1.4493308 3:4.9169116 4:3.006413 5:1.4949324 6:-1.9428742 7:-0.11995799 8:-1.9695597 9:2.9809222 10:-1.2126437 11:4.209816 12:-2.799225 13:3.2188168 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.8527 2:-0.27719167 3:7.600455 4:3.850192 5:3.0276854 6:0.3969418 7:2.3235607 8:-2.5642962 9:1.426331 10:-2.7124782 11:3.7632923 12:-2.9381528 13:3.4528444 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.53096 2:-0.5575338 3:6.533896 4:4.4429975 5:1.9491742 6:-1.2378881 7:4.049952 8:-0.9805195 9:1.2560692 10:-2.6649613 11:4.112116 12:-2.6128669 13:3.5088956 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.32532 2:-0.924384 3:7.0435057 4:3.7079897 5:1.9351201 6:-3.055443 7:0.99761885 8:-3.6393785 9:1.2279067 10:-0.8983105 11:4.878588 12:-1.7276224 13:2.6234732 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.18727 2:-0.17774539 3:10.512583 4:5.7083383 5:3.7552788 6:-0.68165815 7:2.067437 8:-0.86099714 9:1.7787759 10:-2.0502493 11:3.0546527 12:-3.4490302 13:4.7277393 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.91641 2:-1.7184904 3:6.95923 4:4.1682286 5:3.0276928 6:-1.4207358 7:1.6254656 8:-0.6317493 9:1.6176833 10:-4.345859 11:2.2516565 12:-2.090994 13:4.681662 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:220.773 2:-1.0558497 3:4.9017267 4:1.3975892 5:1.6318833 6:-2.038986 7:1.8590481 8:-1.322311 9:2.6877756 10:-0.96241647 11:2.9303322 12:-2.3034072 13:2.9103403 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.44003 2:-0.2195932 3:8.627877 4:5.6592746 5:3.4627135 6:-1.431348 7:1.1750491 8:-2.6790745 9:3.1210008 10:-1.7773094 11:2.9925 12:-3.3949459 13:1.7857993 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:214.94478 2:-2.6449878 3:4.8236575 4:2.01066 5:-0.93477297 6:-2.5745108 7:1.9576358 8:-1.1209956 9:4.3303647 10:-1.6463432 11:2.4822164 12:-2.3906574 13:2.5522938 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.63211 2:-0.38678196 3:4.720209 4:2.1602912 5:0.05887433 6:-2.5034823 7:1.7529037 8:-2.1926203 9:2.6552005 10:-1.9723299 11:3.7065787 12:-1.0101117 13:4.009929 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
