1 1:243.79024 2:-9.726562 3:5.7037745 4:1.2121075 5:0.1723924 6:-1.5006348 7:-0.0545644 8:-1.1644528 9:2.1429138 10:-1.4287952 11:1.44847 12:-1.8159438 13:3.475621 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:245.24466 2:-9.903181 3:4.271566 4:0.3727364 5:0.91879565 6:-1.005846 7:1.0667324 8:-1.1348305 9:0.83941376 10:-2.133067 11:1.5709888 12:-1.5975798 13:2.1638844 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:245.76814 2:-7.6143827 3:7.635505 4:0.93960375 5:-0.10295044 6:-2.03039 7:1.5483943 8:0.684839 9:1.7832042 10:-2.0702252 11:0.6689661 12:-2.7456784 13:1.1160982 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:247.58632 2:-7.1286554 3:8.249581 4:0.13073638 5:1.6017861 6:0.1327868 7:2.9789858 8:2.0289834 9:2.6987936 10:-0.46536517 11:2.0772731 12:-1.5376444 13:3.5889506 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:247.03854 2:-6.733614 3:7.0663085 4:-0.14505489 5:1.6503787 6:0.3219326 7:1.6745613 8:-0.7521049 9:2.4587696 10:-0.7849438 11:1.7932357 12:-2.3603554 13:1.5589044 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:245.66464 2:-9.097442 3:6.2722516 4:-1.7208456 5:-0.12862158 6:-1.7248284 7:1.6494683 8:-0.8195737 9:0.98884237 10:-1.9524299 11:1.4718308 12:-2.134666 13:2.7722483 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:247.112 2:-6.2600083 3:8.91789 4:0.2921194 5:1.9093451 6:0.10549759 7:1.3728735 8:-1.021262 9:1.0503759 10:-0.86811465 11:0.8452217 12:-2.7878313 13:3.0866988 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.3953 2:-8.278023 3:8.592515 4:-0.07264402 5:-0.6521479 6:-1.020948 7:-0.08618075 8:-2.3131778 9:-0.12396351 10:-2.9226277 11:1.7244362 12:-2.6340532 13:1.7174791 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:243.51207 2:-8.38544 3:7.119557 4:-2.176217 5:0.33328047 6:-0.05661021 7:1.6615589 8:-1.1730506 9:1.50237 10:-0.79325676 11:1.1265721 12:-1.9196706 13:2.212764 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:246.77301 2:-9.238128 3:6.952604 4:-0.26356283 5:-0.31854305 6:0.05808227 7:0.19088018 8:-1.5217485 9:1.9428707 10:-0.89770854 11:1.9028225 12:-2.3462253 13:2.580328 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:243.78467 2:-7.9009805 3:8.112458 4:1.6268283 5:1.4316485 6:-0.050881904 7:0.8898315 8:-0.36970598 9:2.6835113 10:-1.0278182 11:0.7524479 12:-3.2938614 13:1.9219145 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
