1 1:246.73116 2:-6.7475195 3:7.3148127 4:0.46421018 5:0.2071478 6:-0.74008334 7:1.3854529 8:0.20672916 9:1.4195063 10:-2.0513258 11:2.2795155 12:-2.995344 13:1.1843253 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:244.157 2:-8.700582 3:5.7021294 4:-1.6044616 5:0.34311086 6:0.79990727 7:1.7343562 8:-1.922096 9:0.90203094 10:-1.721431 11:1.4664164 12:-2.4283152 13:1.283432 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:244.32306 2:-8.669291 3:4.70764 4:-1.574656 5:0.44521016 6:-0.8087001 7:2.2365286 8:0.24228078 9:3.325517 10:-1.2547067 11:1.2587575 12:-0.9567763 13:2.9418044 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:247.39807 2:-6.7683845 3:7.583658 4:0.93936616 5:0.3902618 6:-1.0114799 7:0.82002115 8:-0.312643 9:3.1997306 10:-1.7461824 11:0.8589707 12:-2.2752454 13:1.4021134 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.12358 2:-6.1565332 3:9.405226 4:0.26094264 5:-1.2027032 6:-1.0964988 7:1.0683957 8:-0.5051599 9:1.8242012 10:-1.5877551 11:1.1847069 12:-1.7411611 13:3.3230033 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.06133 2:-7.8040376 3:7.318334 4:-0.51126707 5:-0.97630054 6:-0.81994283 7:1.7804161 8:-1.8916157 9:1.029083 10:-3.2291944 11:0.9774542 12:-0.68658406 13:3.6202738 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:247.45737 2:-6.4304624 3:6.9194674 4:-0.7060295 5:0.6508909 6:-0.9463163 7:1.4949107 8:-1.1747226 9:1.8265374 10:-1.0888329 11:2.7114034 12:-1.3905674 13:2.0497167 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:243.59233 2:-9.522393 3:4.1555495 4:-2.826651 5:-1.3396466 6:-3.3348856 7:-0.38264313 8:-0.30475923 9:1.885618 10:-1.0400428 11:2.1283002 12:-2.9495597 13:1.7061121 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:244.73512 2:-6.690483 3:8.475229 4:-1.0945985 5:-0.2131723 6:-0.6547372 7:0.37604642 8:-0.80904824 9:1.334702 10:-0.3837347 11:1.4796394 12:-2.9134262 13:2.642865 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:249.49324 2:-6.3177953 3:7.453788 4:0.7378304 5:2.1289697 6:0.70553136 7:1.615749 8:-0.70902926 9:1.7880986 10:-1.3264804 11:0.847272 12:-3.185451 13:1.5102681 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.52628 2:-7.0073524 3:7.824682 4:0.72918606 5:2.415894 6:-0.00461686 7:1.0806735 8:-1.5535741 9:1.7181154 10:-1.8702049 11:0.8966105 12:-1.866316 13:0.8205055 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
